,Day,Time,LMP,peak_hour,bypass_pretreatment_flow,power_from_grid,intake.op_mode,intake.startup,intake.shutdown,intake.energy_intensity,intake.power_consumption,intake.recovery,intake.feed_flowrate,intake.product_flowrate,intake.reject_flowrate,intake.feed_cost,intake.chemical_cost,pretreatment.op_mode,pretreatment.startup,pretreatment.shutdown,pretreatment.power_consumption,pretreatment.feed_flowrate,pretreatment.product_flowrate,pretreatment.reject_flowrate,pretreatment.inlet_flowrate,pretreatment.leftover_flow,pretreatment.uf_pumps[1].op_mode,pretreatment.uf_pumps[1].startup,pretreatment.uf_pumps[1].shutdown,pretreatment.uf_pumps[1].energy_intensity,pretreatment.uf_pumps[1].power_consumption,pretreatment.uf_pumps[1].recovery,pretreatment.uf_pumps[1].feed_flowrate,pretreatment.uf_pumps[1].product_flowrate,pretreatment.uf_pumps[1].reject_flowrate,pretreatment.uf_pumps[2].op_mode,pretreatment.uf_pumps[2].startup,pretreatment.uf_pumps[2].shutdown,pretreatment.uf_pumps[2].energy_intensity,pretreatment.uf_pumps[2].power_consumption,pretreatment.uf_pumps[2].recovery,pretreatment.uf_pumps[2].feed_flowrate,pretreatment.uf_pumps[2].product_flowrate,pretreatment.uf_pumps[2].reject_flowrate,pretreatment.uf_pumps[3].op_mode,pretreatment.uf_pumps[3].startup,pretreatment.uf_pumps[3].shutdown,pretreatment.uf_pumps[3].energy_intensity,pretreatment.uf_pumps[3].power_consumption,pretreatment.uf_pumps[3].recovery,pretreatment.uf_pumps[3].feed_flowrate,pretreatment.uf_pumps[3].product_flowrate,pretreatment.uf_pumps[3].reject_flowrate,reverse_osmosis.op_mode,reverse_osmosis.startup,reverse_osmosis.shutdown,reverse_osmosis.power_consumption,reverse_osmosis.feed_flowrate,reverse_osmosis.product_flowrate,reverse_osmosis.reject_flowrate,reverse_osmosis.inlet_flowrate,reverse_osmosis.leftover_flow,reverse_osmosis.ro_skid[1].op_mode,reverse_osmosis.ro_skid[1].startup,reverse_osmosis.ro_skid[1].shutdown,reverse_osmosis.ro_skid[1].energy_intensity,reverse_osmosis.ro_skid[1].power_consumption,reverse_osmosis.ro_skid[1].recovery,reverse_osmosis.ro_skid[1].feed_flowrate,reverse_osmosis.ro_skid[1].product_flowrate,reverse_osmosis.ro_skid[1].reject_flowrate,reverse_osmosis.ro_skid[2].op_mode,reverse_osmosis.ro_skid[2].startup,reverse_osmosis.ro_skid[2].shutdown,reverse_osmosis.ro_skid[2].energy_intensity,reverse_osmosis.ro_skid[2].power_consumption,reverse_osmosis.ro_skid[2].recovery,reverse_osmosis.ro_skid[2].feed_flowrate,reverse_osmosis.ro_skid[2].product_flowrate,reverse_osmosis.ro_skid[2].reject_flowrate,reverse_osmosis.ro_skid[3].op_mode,reverse_osmosis.ro_skid[3].startup,reverse_osmosis.ro_skid[3].shutdown,reverse_osmosis.ro_skid[3].energy_intensity,reverse_osmosis.ro_skid[3].power_consumption,reverse_osmosis.ro_skid[3].recovery,reverse_osmosis.ro_skid[3].feed_flowrate,reverse_osmosis.ro_skid[3].product_flowrate,reverse_osmosis.ro_skid[3].reject_flowrate,reverse_osmosis.ro_skid[4].op_mode,reverse_osmosis.ro_skid[4].startup,reverse_osmosis.ro_skid[4].shutdown,reverse_osmosis.ro_skid[4].energy_intensity,reverse_osmosis.ro_skid[4].power_consumption,reverse_osmosis.ro_skid[4].recovery,reverse_osmosis.ro_skid[4].feed_flowrate,reverse_osmosis.ro_skid[4].product_flowrate,reverse_osmosis.ro_skid[4].reject_flowrate,posttreatment.op_mode,posttreatment.startup,posttreatment.shutdown,posttreatment.energy_intensity,posttreatment.power_consumption,posttreatment.feed_flowrate,posttreatment.product_flowrate,posttreatment.reject_flowrate,posttreatment.chemical_cost,brine_discharge.op_mode,brine_discharge.startup,brine_discharge.shutdown,brine_discharge.feed_flowrate,brine_discharge.power_consumption,brine_discharge.brine_cost,num_skids_online,net_power_consumption,water_revenue,demand_response_revenue,emissions_cost,energy_cost
0,1,1,0.105754717,0,0,1459.482898,,,,0,0,1,2500,2500,0,400,83,0,,,385.0656446,2500,2400,100,2500,0,1,0,0,0.162299128,134.1017638,0.96,860.6906198,826.262995,34.42762479,1,0,0,0.160021031,127.3473881,0.96,828.975595,795.8165712,33.1590238,1,0,0,0.158906345,123.6164928,0.96,810.3337852,777.9204338,32.41335141,,,,850.1972532,2400,2220,180,2400,0,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,,,0.101,224.22,2220,2220,0,68.82,0,,,280,0,120.4,4,1459.482898,0,0,0,154.3472008
1,1,2,0.105566038,0,0,1459.482898,,,,0,0,1,2500,2500,0,400,83,0,,,385.0656446,2500,2400,100,2500,0,1,0,0,0.162299128,134.1017638,0.96,860.6906198,826.262995,34.42762479,1,0,0,0.160021031,127.3473881,0.96,828.975595,795.8165712,33.1590238,1,0,0,0.158906345,123.6164928,0.96,810.3337852,777.9204338,32.41335141,,,,850.1972532,2400,2220,180,2400,0,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,,,0.101,224.22,2220,2220,0,68.82,0,,,280,0,120.4,4,1459.482898,0,0,0,154.071827
2,1,3,0.106066038,0,0,1459.482898,,,,0,0,1,2500,2500,0,400,83,0,,,385.0656446,2500,2400,100,2500,0,1,0,0,0.162299128,134.1017638,0.96,860.6906198,826.262995,34.42762479,1,0,0,0.160021031,127.3473881,0.96,828.975595,795.8165712,33.1590238,1,0,0,0.158906345,123.6164928,0.96,810.3337852,777.9204338,32.41335141,,,,850.1972532,2400,2220,180,2400,0,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,,,0.101,224.22,2220,2220,0,68.82,0,,,280,0,120.4,4,1459.482898,0,0,0,154.8015685
3,1,4,0.107207547,0,0,1459.482898,,,,0,0,1,2500,2500,0,400,83,0,,,385.0656446,2500,2400,100,2500,0,1,0,0,0.162299128,134.1017638,0.96,860.6906198,826.262995,34.42762479,1,0,0,0.160021031,127.3473881,0.96,828.975595,795.8165712,33.1590238,1,0,0,0.158906345,123.6164928,0.96,810.3337852,777.9204338,32.41335141,,,,850.1972532,2400,2220,180,2400,0,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,,,0.101,224.22,2220,2220,0,68.82,0,,,280,0,120.4,4,1459.482898,0,0,0,156.4675814
4,1,5,0.109981132,0,0,1459.482898,,,,0,0,1,2500,2500,0,400,83,0,,,385.0656446,2500,2400,100,2500,0,1,0,0,0.162299128,134.1017638,0.96,860.6906198,826.262995,34.42762479,1,0,0,0.160021031,127.3473881,0.96,828.975595,795.8165712,33.1590238,1,0,0,0.158906345,123.6164928,0.96,810.3337852,777.9204338,32.41335141,,,,850.1972532,2400,2220,180,2400,0,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,,,0.101,224.22,2220,2220,0,68.82,0,,,280,0,120.4,4,1459.482898,0,0,0,160.5155812
5,1,6,0.115301887,0,0,1459.482898,,,,0,0,1,2500,2500,0,400,83,0,,,385.0656446,2500,2400,100,2500,0,1,0,0,0.162299128,134.1017638,0.96,860.6906198,826.262995,34.42762479,1,0,0,0.160021031,127.3473881,0.96,828.975595,795.8165712,33.1590238,1,0,0,0.158906345,123.6164928,0.96,810.3337852,777.9204338,32.41335141,,,,850.1972532,2400,2220,180,2400,0,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,,,0.101,224.22,2220,2220,0,68.82,0,,,280,0,120.4,4,1459.482898,0,0,0,168.2811322
6,1,7,0.104735849,0,0,1459.482898,,,,0,0,1,2500,2500,0,400,83,0,,,385.0656446,2500,2400,100,2500,0,1,0,0,0.162299128,134.1017638,0.96,860.6906198,826.262995,34.42762479,1,0,0,0.160021031,127.3473881,0.96,828.975595,795.8165712,33.1590238,1,0,0,0.158906345,123.6164928,0.96,810.3337852,777.9204338,32.41335141,,,,850.1972532,2400,2220,180,2400,0,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,,,0.101,224.22,2220,2220,0,68.82,0,,,280,0,120.4,4,1459.482898,0,0,0,152.8601804
7,1,8,0.098216981,0,0,1459.482898,,,,0,0,1,2500,2500,0,400,83,0,,,385.0656446,2500,2400,100,2500,0,1,0,0,0.162299128,134.1017638,0.96,860.6906198,826.262995,34.42762479,1,0,0,0.160021031,127.3473881,0.96,828.975595,795.8165712,33.1590238,1,0,0,0.158906345,123.6164928,0.96,810.3337852,777.9204338,32.41335141,,,,850.1972532,2400,2220,180,2400,0,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,,,0.101,224.22,2220,2220,0,68.82,0,,,280,0,120.4,4,1459.482898,0,0,0,143.346004
8,1,9,0.091320755,0,0,1459.482898,,,,0,0,1,2500,2500,0,400,83,0,,,385.0656446,2500,2400,100,2500,0,1,0,0,0.162299128,134.1017638,0.96,860.6906198,826.262995,34.42762479,1,0,0,0.160021031,127.3473881,0.96,828.975595,795.8165712,33.1590238,1,0,0,0.158906345,123.6164928,0.96,810.3337852,777.9204338,32.41335141,,,,850.1972532,2400,2220,180,2400,0,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,,,0.101,224.22,2220,2220,0,68.82,0,,,280,0,120.4,4,1459.482898,0,0,0,133.2810801
9,1,10,0.081169811,0,0,1459.482898,,,,0,0,1,2500,2500,0,400,83,0,,,385.0656446,2500,2400,100,2500,0,1,0,0,0.162299128,134.1017638,0.96,860.6906198,826.262995,34.42762479,1,0,0,0.160021031,127.3473881,0.96,828.975595,795.8165712,33.1590238,1,0,0,0.158906345,123.6164928,0.96,810.3337852,777.9204338,32.41335141,,,,850.1972532,2400,2220,180,2400,0,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,,,0.101,224.22,2220,2220,0,68.82,0,,,280,0,120.4,4,1459.482898,0,0,0,118.465951
