Flow (gpm),Head (ft),Speed (%),Pressure Change (psi),Pressure Change (bar),Speed (rpm),Efficiency
0,310,100,134.23,9.248447,1778,
100,309.435968,100,133.9857741,9.231619839,1778,
200,308.8414207,100,133.7283352,9.213882293,1778,
300,308.2474075,100,133.4711274,9.196160681,1778,
400,308.2607621,100,133.47691,9.196559098,1778,
500,307.6662148,100,133.219471,9.178821552,1778,
600,307.0722017,100,132.9622633,9.161099944,1778,
700,307.0855563,100,132.9680459,9.161498361,1778,
800,306.491009,100,132.7106069,9.143760815,1778,
900,305.8964617,100,132.4531679,9.126023269,1778,
1000,305.3024486,100,132.1959602,9.108301661,1778,
1100,304.7079013,100,131.9385213,9.090564115,1778,
1200,304.1133539,100,131.6810822,9.072826566,1778,
1300,302.9109047,100,131.1604217,9.036953058,1778,
1400,302.3168916,100,130.9032141,9.019231449,1778,
1500,300,100,129.9,8.95011,1778,0.59
1600,299.91,100,129.86103,8.947424967,1778,
1700,298.7100781,100,129.3414638,8.911626857,1778,
1800,296.8997269,100,128.5575817,8.857617382,1778,
1875,295.5419635,100,127.9696702,8.817110277,1778,0.68
1900,295.0893757,100,127.7736997,8.803607908,1778,
2000,293.2790246,100,126.9898177,8.749598436,1778,
2100,290.8613057,100,125.9429454,8.677468936,1778,
2200,287.8356849,100,124.6328516,8.587203473,1778,
2275,286.4775209,100,124.0447666,8.546684414,1778,0.75
2300,286.0247995,100,123.8487382,8.533178061,1778,
2400,283.6065464,100,122.8016346,8.461032623,1778,
2500,280,100,121.24,8.353436,1778,
2600,276.9468687,100,119.9179941,8.262349797,1778,
2675,273.3098738,100,118.3431753,8.153844781,1778,0.8
2700,272.0975421,100,117.8182357,8.117676442,1778,
2778,271.1,100,117.3863,8.08791607,1778,0.8245
2800,268.4634852,100,116.2446891,8.009259078,1778,
2850,266.3425058,100,115.326305,7.945982414,1778,0.83
2900,264.2215263,100,114.4079209,7.882705749,1778,
3000,259.3721997,100,112.3081625,7.738032394,1778,
3100,254.5223389,100,110.2081727,7.593343102,1778,
3200,249.0645762,100,107.8449615,7.430517847,1778,0.83
3300,242.9983774,100,105.2182974,7.249540692,1778,
3400,236.3258792,100,102.3291057,7.050475382,1778,0.8
3500,229.6517785,100,99.43922009,6.851362264,1778,
3600,222.978212,100,96.5495658,6.652265083,1778,
3700,214.4814738,100,92.87047816,6.398775945,1778,0.755
0,250.4555926,90,108.4472716,7.472017013,1600.2,
100,250.4694814,90,108.4532854,7.472431367,1600.2,
200,250.4833702,90,108.4592993,7.472845722,1600.2,
300,249.8888229,90,108.2018603,7.455108176,1600.2,
400,249.2942755,90,107.9444213,7.437370627,1600.2,
500,248.6997282,90,107.6869823,7.419633081,1600.2,
600,248.1057151,90,107.4297746,7.401911473,1600.2,
700,248.1190697,90,107.4355572,7.40230989,1600.2,
800,247.5245224,90,107.1781182,7.384572344,1600.2,
900,246.9299751,90,106.9206792,7.366834798,1600.2,
1000,246.9438639,90,106.9266931,7.367249152,1600.2,
1100,245.7414147,90,106.4060326,7.331375644,1600.2,
1200,245.1468673,90,106.1485935,7.313638095,1600.2,
1300,244.55232,90,105.8911546,7.295900549,1600.2,
1400,243.350405,90,105.3707254,7.260042978,1600.2,
1500,242.1479557,90,104.8500648,7.224169466,1600.2,
1600,240.9455065,90,104.3294043,7.188295957,1600.2,
1700,239.1351553,90,103.5455222,7.134286483,1600.2,
1800,237.3253384,90,102.7618715,7.080292948,1600.2,
1900,235.5149872,90,101.9779895,7.026283474,1600.2,
2000,233.7051702,90,101.1943387,6.972289936,1600.2,
2100,230.6790152,90,99.88401358,6.882008536,1600.2,
2200,228.260228,90,98.83667872,6.809847164,1600.2,
2300,225.2346071,90,97.52658487,6.719581698,1600.2,
2400,222.2089863,90,96.21649107,6.629316235,1600.2,
2500,217.9664933,90,94.3794916,6.502746971,1600.2,
2600,214.3329705,90,92.80617623,6.394345542,1600.2,
2700,210.0915459,90,90.96963937,6.267808153,1600.2,
2800,205.2416851,90,88.86964965,6.123118861,1600.2,
2900,200,90,86.6,5.96674,1600.2,
3000,194.9340616,90,84.40644867,5.815604314,1600.2,
3100,188.8689312,90,81.78024721,5.634659033,1600.2,
3200,182.8032665,90,79.15381439,5.453697812,1600.2,
3300,176.1297,90,76.2641601,5.254600631,1600.2,
0,199.3923652,80,86.33689413,5.948612006,1422.4,
100,198.7978179,80,86.07945515,5.93087446,1422.4,
200,198.8117067,80,86.085469,5.931288814,1422.4,
300,198.2171593,80,85.82802998,5.913551265,1422.4,
400,198.230514,80,85.83381256,5.913949686,1422.4,
500,197.6359666,80,85.57637354,5.896212137,1422.4,
600,197.6493213,80,85.58215612,5.896610557,1422.4,
700,197.0553081,80,85.32494841,5.878888945,1422.4,
800,196.4607608,80,85.06750943,5.861151399,1422.4,
900,195.8662135,80,84.81007045,5.843413854,1422.4,
1000,195.2722004,80,84.55286277,5.825692245,1422.4,
1100,194.6776531,80,84.29542379,5.807954699,1422.4,
1200,194.0831057,80,84.03798477,5.790217151,1422.4,
1300,192.8806565,80,83.51732426,5.754343642,1422.4,
1400,191.6787415,80,82.99689507,5.71848607,1422.4,
