DateTime,stage 3 feed pressure (psi),stage 3 permeate flowrate (gpm),stage 3 permeate conductivity (us/cm),stage 3 concentrate flowrate (gpm),stage 3 concentrate pressure (psi),stage 3 concentrate conductivity (us/cm)
4/4/2019,66.63999939,171.019989,57,246.1100006,59.3599968,4172.97998
4/11/2019,72.48999786,162.7299957,93,240.769989,65.63999939,5774.47998
4/26/2019,99.93999481,203.5899963,139,297.0299988,90.50999451,8433.969727
4/29/2019,88.58999634,178.8600006,132,254.7799988,80.61999512,7465.239746
5/5/2019,113.7799988,261.2200012,124,251.5499878,105.5999985,9499.929688
5/7/2019,90.36999512,174.7599945,147,253.6199951,82.59999847,7969.939941
5/8/2019,86.02999878,164.519989,147,249.269989,79.16999817,7919.989746
5/9/2019,99.47999573,174.0299988,154.019989,256.0400085,91.95999908,8980.080078
5/11/2019,88.31999969,167.6399994,131,253.5399933,81.11000061,7593
5/14/2019,96.12999725,168.1100006,131,251.3199921,89.04000092,8479.5
5/15/2019,96.65999603,167.1999969,149,251.6999969,89.72999573,9199.5
5/16/2019,95.04999542,166.7200012,136,249.5699921,88.13999939,8677.129883
5/17/2019,94.81999969,158.8399963,139,245.8899994,88.34999847,8848.769531
5/18/2019,95.38999939,167.2200012,126,250.7299957,88.37999725,8513.75
5/19/2019,96.31999969,165.9299927,116,250.2599945,89.29000092,8612.129883
5/20/2019,92.86999512,166.5699921,124,248.5499878,85.79000092,9448.879883
5/21/2019,100.5099945,167.0399933,125,252.4799957,93.55999756,10828.30957
5/22/2019,134.6699982,279.0400085,79,276.6399841,125.3299942,12480.93945
5/23/2019,97.93999481,161.3499908,139.25,237.3899994,91.15000153,10538.96973
5/25/2019,93.11999512,161.5099945,118.5,244.8099976,86.34999847,10243.49023
5/27/2019,91.97999573,161.3199921,117.5,244.0399933,85.40000153,9950.689453
5/29/2019,97.61000061,166.1499939,105.75,248.8799896,90.52999878,10192.80957
5/30/2019,96.73999786,167.3399963,103.75,250.1100006,89.75,9989.969727
5/31/2019,95.70999908,164.9899902,111.8799973,247.9399872,88.66999817,10117.25
6/1/2019,98.65999603,166.1999969,107.75,250.1899872,91.79999542,10498.83984
6/2/2019,97.95999908,167.1600037,103.8799973,250.8799896,91,10044.5
6/3/2019,95.41999817,168.5899963,96.5,252.1299896,88.44999695,9553.629883
6/4/2019,95.86999512,167.7799988,102.5,250.75,88.80999756,9696.55957
6/5/2019,97.50999451,166.0999908,105,249.9299927,90.63999939,10293.75
6/6/2019,98.81999969,167.6600037,105.1199951,251.6799927,91.65999603,10375.43945
6/9/2019,97.72999573,167.3000031,113.5,248.769989,90.90999603,10147.75
6/13/2019,94.75,168.3499908,105.5,252.8799896,87.56999969,10031.74023
6/17/2019,95.68000031,163.519989,106.5,245.9199982,88.94999695,9823.5
6/18/2019,99.09999847,166.8499908,108.8799973,250.5999908,92.11000061,10345.62988
6/19/2019,98.79000092,167.5299988,106,251.2399902,91.75,10209.87988
6/20/2019,96.34999847,167.519989,106.0299988,251.1299896,89.41999817,10380.51953
6/23/2019,97.06999969,166.8000031,108,250.6899872,90.22999573,10006.51953
6/24/2019,94.34999847,168.6600037,100.5,255.5299988,87.44999695,9542.519531
6/29/2019,90.15000153,166.8099976,90.25,248.4299927,83.43000031,8715.75
6/30/2019,78.12999725,145.8099976,86.5,218.0099945,72.54999542,7263.25
7/1/2019,84.29999542,167.8300018,95.11999512,250.4899902,77.33000183,8428
7/3/2019,90.44999695,172.2299957,107.5,251.4899902,83.13999939,9431.370117
7/4/2019,93.37999725,167.3899994,104.1199951,249.019989,86.58000183,9348.75
7/14/2019,90.15000153,167.6199951,101.5,250.8999939,83.33999634,8873.5
7/15/2019,3.899999857,167,22,250,50,10000
7/16/2019,3.879999876,0.129999995,0,0.079999998,4.360000134,222.4899902
7/17/2019,80,200,100,250,25,337
7/18/2019,70,190,50,250,40,604.8800049
7/19/2019,3.210000038,0.129999995,0,0.109999999,3.699999809,489
7/20/2019,3.829999924,0.109999999,30,0.119999997,4.380000114,88
7/21/2019,6.049999714,0.089999996,31,0.099999994,6.639999866,322
7/22/2019,0,0.109999999,89,0.119999997,0.029999999,7321.939941
