DateTime,stage 3 feed pressure (psi),stage 3 permeate flowrate (gpm),stage 3 permeate conductivity (us/cm),stage 3 concentrate flowrate (gpm),stage 3 concentrate pressure (psi),stage 3 concentrate conductivity (us/cm),stage 3 concentrate salinity (g/L),stage 3 permeate salinity (g/L),stage 3 feed flowrate (gpm),stage 3 feed salinity (g/L)
3/4/2021,165.1999969,268.7999878,112.5,243.269989,157.5800018,12330.5,6.16525,0.05625,512.0699768,2.958463428110125
3/5/2021,165.3799896,268.5599976,112.5,247.8199921,157.8199921,11952.25,5.976125,0.05625,516.3799897,2.8973038847279957
3/6/2021,168.1499939,265.3099976,108.5,249.3999939,160.5800018,12033.75,6.016875,0.05425,514.7099915,2.9434082894947307
3/7/2021,169.3199921,268.0799866,102.0599976,254.1799927,161.6600037,11400.00977,5.700004885,0.051029998800000004,522.2599792999999,2.8003434676614645
3/8/2021,123.8099976,167.1399994,154.5,205.1100006,118.1999969,10684.99023,5.342495115,0.07725,372.25,2.978403602946399
3/9/2021,149.9700012,210.5099945,124.8799973,216.0399933,144.4100037,11379.5,5.68975,0.06243999865,426.5499878,2.9125725734015986
3/11/2021,131.9400024,244.6599884,165.5,242.4099884,121.5099945,10431.00977,5.2155048850000005,0.08275,487.0699768,2.637272166008598
3/12/2021,149.7799988,283.3399963,133.5,234.4499969,141.5399933,11413.2002,5.7066001,0.06675,517.7899932,2.6204162659116537
3/13/2021,152.2299957,277.8099976,131.5,232.0699921,144.4199982,12068.75,6.034375,0.06575,509.8799897,2.782347600570365
3/14/2021,146.5099945,261.4700012,136.5,218.9799957,139.3000031,11875.93945,5.937969725,0.06825,480.4499969,2.743556917336157
3/15/2021,150.75,277.7799988,122.5,242.0399933,142.75,11617.0,5.8085,0.06125,519.8199921,2.7373001185683905
3/16/2021,105.5499954,150.0,199.5,181.9499969,100.9399948,10280.12988,5.14006494,0.09975,331.9499969,2.862471181721523
3/17/2021,110.5099945,156.8399963,198.5,191.6799927,105.6399994,10888.5,5.44425,0.09925,348.519989,3.0389079631520075
3/20/2021,152.4199982,264.6199951,140.5,229.6499939,145.1900024,12916.0,6.458,0.07025,494.269989,3.038155762400486
3/21/2021,151.6499939,266.6799927,132.5,223.1100006,144.2899933,12415.93945,6.207969725,0.06625,489.7899933,2.863936988861113
3/22/2021,109.0,159.3600006,183.8799896,185.1599884,103.7900009,10513.49023,5.256745115,0.0919399948,344.519989,2.867730331146762
3/29/2021,168.9700012,326.1199951,93.75,279.6699829,158.8399963,11407.5,5.70375,0.046875,605.789978,2.658437079221848
3/30/2021,162.8499908,327.0299988,72.11999512,273.1600037,152.9599915,9475.479492,4.737739746,0.03605999756,600.1900025,2.175900468295074
3/31/2021,178.4099884,324.789978,92.5,274.1600037,168.9400024,12071.0,6.0355,0.04625,598.9499817000001,2.7877356871682326
