DateTime,stage 1 feed conductivity (us/cm),stage 1 feed pressure (psi),stage 1 permeate flowrate (gpm),stage 1 permeate conductivity (us/cm),stage 1 concentrate flowrate (gpm),stage 1 concentrate pressure (psi),stage 2 feed pressure (psi),stage 2 permeate flowrate (gpm),stage 2 permeate conductivity (us/cm),stage 2 concentrate flowrate (gpm),stage 2 concentrate pressure (psi),stage 2 concentrate conductivity (us/cm)
2/7/2019,1106.280029,25.14999962,763.1300049,0,615.1599731,24.76999855,20.6099987,216.2099915,0,398.9499817,20.6099987,0
2/27/2019,1314.809937,67.94999695,1437.959961,0,955.1999817,66.26999664,77.31999969,613.3699951,0,341.8299866,77.33999634,0
2/28/2019,1263.189941,105.409996,1760.179932,0,1125.509979,102.7699966,120.4399948,729.8499756,0,395.6600037,120.4300003,0
3/7/2019,1026.199951,70,1066.599976,24,878.3799744,62.44999695,81.47999573,455.0999756,0,423.2799988,75.09999847,4737.97998
3/9/2019,1057,97.18000031,1600.140015,26,1225.159973,84.15000153,104.9199982,633.5999756,0,591.5599976,94.15999603,5157
3/11/2019,2000,70.86000061,1108.459961,32,1023.47998,62.15999985,81.06999969,479.0999756,0,544.3800049,72.45999908,3668.969971
3/12/2019,2000,96.76999664,1395.169922,15,1148.450012,84.18000031,105.5,621.2600098,0,527.1900024,95.38999939,3178
3/13/2019,2000,103.0199966,1613.890015,13,1211.400024,89.55999756,110.4199982,646.5100098,0,564.8900146,99.48999786,3558.97998
3/14/2019,2000,104.8799973,1550.309937,20,1184.109985,92.33999634,114.5099945,647.6199951,0,536.4899902,104.5400009,5258.310059
3/15/2019,1000,106.9799957,1597.719971,20,1206.130005,93.86999512,115.5999985,668.0499878,0,538.0800171,105.5599976,5613.439941
3/18/2019,972.0299683,98.11999512,1448.97998,200,1168.939941,85.75999451,106.8499985,648.5899658,0,520.3499756,97.18999481,4890.5
3/22/2019,809.1199951,100.8899994,1498.919922,200,1194.799988,87.93999481,108.6199951,662.4699707,0,532.3300171,98.40999603,4074.02002
3/26/2019,660.3999634,101.3899994,1538.169922,175,1203.639954,87.88999939,107.4599991,665.1199951,0,538.5199585,96.84999847,3426
4/2/2019,618.7299805,102.5899963,1666.130005,17,1256.960022,88.44999695,105.2999954,671.7600098,21,585.2000122,93.79000092,3119.059814
4/3/2019,578.289978,61.71999741,329,46,1011.220001,52.41999817,79.94999695,395.7099915,28.12999916,615.5100098,69.29999542,1063.23999
4/6/2019,501.8199768,69.06999969,1041.660034,18,948.4999695,60.77999878,73.15000153,451.6699829,21,496.8299866,65.18000031,2057.26001
