DateTime,A,B
8/1/2021,7.05E-12,7.40E-08
8/2/2021,7.17E-12,7.44E-08
8/3/2021,7.10E-12,7.64E-08
8/4/2021,7.31E-12,7.95E-08
8/5/2021,7.23E-12,7.78E-08
8/6/2021,7.16E-12,7.52E-08
8/7/2021,7.15E-12,7.57E-08
8/10/2021,7.35E-12,7.14E-08
8/11/2021,7.38E-12,7.18E-08
8/13/2021,7.59E-12,7.41E-08
8/14/2021,7.14E-12,7.25E-08
8/15/2021,7.46E-12,7.40E-08
8/16/2021,7.51E-12,7.71E-08
8/17/2021,7.35E-12,7.52E-08
8/18/2021,7.64E-12,7.50E-08
8/19/2021,7.27E-12,7.27E-08
8/20/2021,7.33E-12,7.28E-08
8/21/2021,7.17E-12,7.24E-08
8/22/2021,7.22E-12,7.25E-08
8/23/2021,7.30E-12,7.35E-08
8/24/2021,7.36E-12,7.32E-08
8/25/2021,7.41E-12,8.20E-08
8/26/2021,7.64E-12,8.08E-08
,,
AVERAGE,7.32E-12,7.50E-08
STD,1.6454E-13,2.78877E-09
AVG+std,7.48E-12,7.78E-08
AVG-std,7.16E-12,7.22E-08
