DateTime,A,B
3/1/2021,5.81E-12,2.84E-08
3/2/2021,5.80E-12,2.78E-08
3/4/2021,5.86E-12,2.89E-08
3/5/2021,5.90E-12,3.02E-08
3/6/2021,5.83E-12,2.98E-08
3/7/2021,5.84E-12,2.91E-08
3/9/2021,5.91E-12,2.84E-08
3/11/2021,5.78E-12,2.75E-08
3/12/2021,5.84E-12,2.88E-08
3/13/2021,5.74E-12,2.87E-08
3/14/2021,5.89E-12,2.94E-08
3/15/2021,5.87E-12,2.97E-08
3/16/2021,5.86E-12,2.80E-08
3/18/2021,5.98E-12,2.87E-08
3/19/2021,6.08E-12,3.16E-08
3/20/2021,6.02E-12,3.09E-08
3/21/2021,6.00E-12,3.01E-08
3/22/2021,6.08E-12,3.09E-08
3/23/2021,6.12E-12,3.07E-08
3/24/2021,5.96E-12,2.98E-08
3/25/2021,5.98E-12,2.83E-08
3/26/2021,5.90E-12,2.80E-08
3/27/2021,6.00E-12,3.12E-08
3/28/2021,6.00E-12,3.27E-08
3/29/2021,6.05E-12,3.22E-08
3/30/2021,6.00E-12,3.13E-08
3/31/2021,6.12E-12,3.18E-08
,,
AVERAGE,5.93E-12,2.97E-08
std,1.04809E-13,1.42671E-09
AVG+std,6.04E-12,3.12E-08
AVG-std,5.83E-12,2.83E-08
