DateTime,A,B
8/9/2021,1.39E-11,1.46E-07
8/10/2021,1.27E-11,1.81E-07
8/11/2021,1.16E-11,9.07E-08
8/13/2021,1.11E-11,8.38E-08
8/14/2021,8.14E-12,1.35E-07
8/15/2021,8.04E-12,1.79E-07
8/16/2021,7.50E-12,1.35E-07
8/17/2021,6.02E-12,1.40E-07
8/18/2021,5.43E-12,1.42E-07
8/19/2021,5.26E-12,1.52E-07
8/20/2021,4.95E-12,1.50E-07
8/21/2021,5.34E-12,1.38E-07
8/22/2021,4.99E-12,8.17E-08
8/23/2021,4.55E-12,9.17E-08
8/24/2021,5.46E-12,6.90E-08
8/25/2021,5.73E-12,1.56E-07
8/26/2021,5.22E-12,1.63E-07
8/28/2021,1.30E-11,1.76E-07
8/29/2021,1.27E-11,1.74E-07
8/30/2021,1.39E-11,1.02E-07
8/31/2021,1.27E-11,8.66E-08
,,
AVERAGE,8.49E-12,1.32E-07
STD,3.48E-12,3.53E-08
AVG+std,1.20E-11,1.67E-07
AVG-std,5.01E-12,9.67E-08
