DateTime,A,B
8/1/2021,7.07E-12,4.57E-08
8/2/2021,7.08E-12,4.54E-08
8/3/2021,7.07E-12,4.60E-08
8/4/2021,7.13E-12,4.59E-08
8/5/2021,7.18E-12,4.74E-08
8/6/2021,7.13E-12,4.77E-08
8/7/2021,7.12E-12,4.73E-08
8/10/2021,7.39E-12,4.99E-08
8/11/2021,7.23E-12,4.61E-08
8/13/2021,7.17E-12,4.75E-08
8/14/2021,6.95E-12,4.75E-08
8/15/2021,7.02E-12,4.54E-08
8/16/2021,7.06E-12,4.75E-08
8/17/2021,6.92E-12,4.62E-08
8/18/2021,6.91E-12,4.43E-08
8/19/2021,6.81E-12,4.58E-08
8/20/2021,6.86E-12,4.66E-08
8/21/2021,6.83E-12,4.74E-08
8/22/2021,6.76E-12,4.75E-08
8/23/2021,6.78E-12,4.63E-08
8/24/2021,6.92E-12,4.41E-08
8/25/2021,6.90E-12,5.02E-08
8/26/2021,7.16E-12,5.02E-08
,,
AVERAGE,7.02E-12,4.69E-08
STD,1.59E-13,1.59E-09
AVG+std,7.18E-12,4.85E-08
AVG-std,6.86E-12,4.53E-08
