DateTime,A,B
3/4/2021,7.26E-12,5.17E-08
3/5/2021,7.11E-12,5.31E-08
3/6/2021,6.85E-12,5.01E-08
3/7/2021,6.64E-12,5.03E-08
3/8/2021,7.58E-12,4.87E-08
3/9/2021,6.48E-12,4.80E-08
3/11/2021,9.62E-12,8.05E-08
3/12/2021,8.75E-12,7.10E-08
3/13/2021,8.62E-12,6.46E-08
3/14/2021,8.62E-12,6.43E-08
3/15/2021,8.62E-12,6.20E-08
3/16/2021,9.77E-12,5.88E-08
3/17/2021,9.73E-12,5.76E-08
3/20/2021,8.63E-12,6.09E-08
3/21/2021,8.48E-12,6.07E-08
3/22/2021,9.78E-12,5.66E-08
3/29/2021,8.19E-12,5.66E-08
3/30/2021,7.96E-12,5.31E-08
3/31/2021,7.58E-12,5.28E-08
,,
AVERAGE,8.22E-12,5.80E-08
STD,1.03935E-12,8.00072E-09
AVG+std,9.26E-12,6.60E-08
AVG-std,7.18E-12,5.00E-08
