time_index,train_1_on,train_2_on,train_3_on,train_4_on,train_1_flow_pct,train_2_flow_pct,train_3_flow_pct,train_4_flow_pct
1,1,1,1,1,100,100,100,100
2,1,1,1,1,100,100,100,100
3,1,1,1,1,100,100,100,100
4,1,1,1,1,100,100,100,100
5,1,1,1,1,100,100,100,100
6,1,1,1,1,100,100,100,100
7,1,1,1,1,100,100,100,100
8,1,1,1,1,100,100,100,100
9,1,1,1,1,100,100,100,100
10,1,1,1,1,100,100,100,100
11,1,1,1,1,100,100,100,100
12,1,1,1,1,100,100,100,100
13,1,1,1,1,100,100,100,100
14,1,1,1,1,100,100,100,100
15,1,1,1,1,100,100,100,100
16,1,1,1,1,100,100,100,100
17,1,1,1,1,100,100,100,100
18,1,1,1,1,100,100,100,100
19,1,1,1,1,100,100,100,100
20,1,1,1,1,100,100,100,100
21,1,1,1,1,100,100,100,100
22,1,1,1,1,100,100,100,100
23,1,1,1,1,100,100,100,100
24,1,1,1,1,100,100,100,100
25,1,1,1,1,100,100,100,100
26,1,1,1,1,100,100,100,100
27,1,1,1,1,100,100,100,100
28,1,1,1,1,100,100,100,100
29,1,1,1,1,100,100,100,100
30,1,1,1,1,100,100,100,100
31,1,1,1,1,100,100,100,100
32,1,1,1,1,100,100,100,100
33,1,1,1,1,100,100,100,100
34,1,1,1,1,100,100,100,100
35,1,1,1,1,100,100,100,100
36,1,1,1,1,100,100,100,100
37,1,1,1,1,100,100,100,100
38,1,1,1,1,100,100,100,100
39,1,1,1,1,100,100,100,100
40,1,1,1,1,100,100,100,100
41,1,1,1,1,100,100,100,100
42,1,1,1,1,100,100,100,100
43,1,1,1,1,100,100,100,100
44,1,1,1,1,100,100,100,100
45,1,1,1,1,100,100,100,100
46,1,1,1,1,100,100,100,100
47,1,1,1,1,100,100,100,100
48,1,1,1,1,100,100,100,100
49,1,1,1,1,100,100,100,100
50,1,1,1,1,100,100,100,100
51,1,1,1,1,100,100,100,100
52,1,1,1,1,100,100,100,100
53,1,1,1,1,100,100,100,100
54,1,1,1,1,100,100,100,100
55,1,1,1,1,100,100,100,100
56,1,1,1,1,100,100,100,100
57,1,1,1,1,100,100,100,100
58,1,1,1,1,100,100,100,100
59,1,1,1,1,100,100,100,100
60,1,1,1,1,100,100,100,100
61,1,1,1,1,100,100,100,100
62,1,1,1,1,100,100,100,100
63,1,1,1,1,100,100,100,100
