time_index,train_1_on,train_2_on,train_3_on,train_4_on,train_1_flow_pct,train_2_flow_pct,train_3_flow_pct,train_4_flow_pct,on-peak
1,1,1,1,1,100,100,85,85,0
2,1,1,1,1,100,100,85,85,0
3,1,1,1,1,100,100,85,85,0
4,1,1,1,1,100,100,85,85,0
5,1,1,1,1,100,100,85,85,0
6,1,1,1,1,100,100,85,85,0
7,1,1,1,1,100,100,85,85,0
8,1,1,1,1,100,100,85,85,0
9,1,1,1,1,100,100,85,85,0
10,1,1,1,1,100,100,85,85,0
11,1,1,1,1,100,100,85,85,0
12,1,1,1,1,100,100,85,85,0
13,1,1,1,1,100,100,85,85,0
14,1,1,1,1,100,100,85,85,0
15,1,1,1,1,100,100,85,85,0
16,1,1,1,1,100,100,85,85,0
17,1,1,0,0,100,100,0,0,1
18,1,1,0,0,100,100,0,0,1
19,1,1,0,0,100,100,0,0,1
20,1,1,0,0,100,100,0,0,1
21,1,1,0,0,100,100,0,0,1
22,1,1,0,0,100,100,0,0,0
23,1,1,0,0,100,100,0,0,0
24,1,1,0,0,100,100,0,0,0
25,1,1,0,0,100,100,0,0,0
26,1,1,0,0,100,100,0,0,0
27,1,1,0,0,100,100,0,0,0
28,1,1,0,0,100,100,0,0,0
29,1,1,0,0,100,100,0,0,0
30,1,1,0,0,100,100,0,0,0
31,1,1,0,0,100,100,0,0,0
32,1,1,1,1,100,100,85,85,0
33,1,1,1,1,100,100,85,85,0
34,1,1,1,1,100,100,85,85,0
35,1,1,1,1,100,100,85,85,0
36,1,1,1,1,100,100,85,85,0
37,1,1,1,1,100,100,85,85,0
38,1,1,1,1,100,100,85,85,0
39,1,1,1,1,100,100,85,85,0
40,1,1,1,1,100,100,85,85,0
41,1,1,0,0,100,100,0,0,1
42,1,1,0,0,100,100,0,0,1
43,1,1,0,0,100,100,0,0,1
44,1,1,0,0,100,100,0,0,1
45,1,1,0,0,100,100,0,0,1
46,1,1,0,0,100,100,0,0,0
47,1,1,0,0,100,100,0,0,0
48,1,1,0,0,100,100,0,0,0
49,1,1,0,0,100,100,0,0,0
50,1,1,0,0,100,100,0,0,0
51,1,1,0,0,100,100,0,0,0
52,1,1,0,0,100,100,0,0,0
53,1,1,0,0,100,100,0,0,0
54,1,1,0,0,100,100,0,0,0
55,1,1,0,0,100,100,0,0,0
56,1,1,0,0,100,100,0,0,0
57,1,1,1,1,100,100,85,85,0
58,1,1,1,1,100,100,85,85,0
59,1,1,1,1,100,100,85,85,0
60,1,1,1,1,100,100,85,85,0
61,1,1,1,1,100,100,85,85,0
62,1,1,1,1,100,100,85,85,0
63,1,1,1,1,100,100,85,85,0
64,1,1,1,1,100,100,85,85,0
65,1,1,0,0,100,100,0,0,1
66,1,1,0,0,100,100,0,0,1
67,1,1,0,0,100,100,0,0,1
68,1,1,0,0,100,100,0,0,1
69,1,1,0,0,100,100,0,0,1
70,1,1,0,0,100,100,0,0,0
71,1,1,0,0,100,100,0,0,0
72,1,1,0,0,100,100,0,0,0
73,1,1,0,0,100,100,0,0,0
74,1,1,0,0,100,100,0,0,0
75,1,1,0,0,100,100,0,0,0
76,1,1,0,0,100,100,0,0,0
77,1,1,0,0,100,100,0,0,0
78,1,1,0,0,100,100,0,0,0
79,1,1,0,0,100,100,0,0,0
80,1,1,0,0,100,100,0,0,0
81,1,1,1,1,100,100,85,85,0
82,1,1,1,1,100,100,85,85,0
83,1,1,1,1,100,100,85,85,0
84,1,1,1,1,100,100,85,85,0
85,1,1,1,1,100,100,85,85,0
86,1,1,1,1,100,100,85,85,0
87,1,1,1,1,100,100,85,85,0
88,1,1,1,1,100,100,85,85,0
89,1,1,0,0,100,100,0,0,1
90,1,1,0,0,100,100,0,0,1
91,1,1,0,0,100,100,0,0,1
92,1,1,0,0,100,100,0,0,1
93,1,1,0,0,100,100,0,0,1
94,1,1,0,0,100,100,0,0,0
95,1,1,0,0,100,100,0,0,0
96,1,1,0,0,100,100,0,0,0
97,1,1,0,0,100,100,0,0,0
98,1,1,0,0,100,100,0,0,0
99,1,1,0,0,100,100,0,0,0
100,1,1,0,0,100,100,0,0,0
101,1,1,0,0,100,100,0,0,0
102,1,1,0,0,100,100,0,0,0
103,1,1,0,0,100,100,0,0,0
104,1,1,0,0,100,100,0,0,0
105,1,1,1,1,100,100,85,85,0
106,1,1,1,1,100,100,85,85,0
107,1,1,1,1,100,100,85,85,0
108,1,1,1,1,100,100,85,85,0
109,1,1,1,1,100,100,85,85,0
110,1,1,1,1,100,100,85,85,0
111,1,1,1,1,100,100,85,85,0
112,1,1,1,1,100,100,85,85,0
113,1,1,0,0,100,100,0,0,1
114,1,1,0,0,100,100,0,0,1
115,1,1,0,0,100,100,0,0,1
116,1,1,0,0,100,100,0,0,1
117,1,1,0,0,100,100,0,0,1
118,1,1,0,0,100,100,0,0,0
119,1,1,0,0,100,100,0,0,0
120,1,1,0,0,100,100,0,0,0
121,1,1,0,0,100,100,0,0,0
122,1,1,0,0,100,100,0,0,0
123,1,1,0,0,100,100,0,0,0
124,1,1,0,0,100,100,0,0,0
125,1,1,0,0,100,100,0,0,0
126,1,1,0,0,100,100,0,0,0
127,1,1,0,0,100,100,0,0,0
128,1,1,0,0,100,100,0,0,0
129,1,1,1,1,100,100,85,85,0
130,1,1,1,1,100,100,85,85,0
131,1,1,1,1,100,100,85,85,0
132,1,1,1,1,100,100,85,85,0
133,1,1,1,1,100,100,85,85,0
134,1,1,1,1,100,100,85,85,0
135,1,1,1,1,100,100,85,85,0
136,1,1,1,1,100,100,85,85,0
137,1,1,0,0,100,100,0,0,1
138,1,1,0,0,100,100,0,0,1
139,1,1,0,0,100,100,0,0,1
140,1,1,0,0,100,100,0,0,1
141,1,1,0,0,100,100,0,0,1
142,1,1,0,0,100,100,0,0,0
143,1,1,0,0,100,100,0,0,0
144,1,1,0,0,100,100,0,0,0
145,1,1,0,0,100,100,0,0,0
146,1,1,0,0,100,100,0,0,0
147,1,1,0,0,100,100,0,0,0
148,1,1,0,0,100,100,0,0,0
149,1,1,0,0,100,100,0,0,0
150,1,1,0,0,100,100,0,0,0
151,1,1,0,0,100,100,0,0,0
152,1,1,0,0,100,100,0,0,0
153,1,1,1,1,100,100,85,85,0
154,1,1,1,1,100,100,85,85,0
155,1,1,1,1,100,100,85,85,0
156,1,1,1,1,100,100,85,85,0
157,1,1,1,1,100,100,85,85,0
158,1,1,1,1,100,100,85,85,0
159,1,1,1,1,100,100,85,85,0
160,1,1,1,1,100,100,85,85,0
161,1,1,0,0,100,100,0,0,1
162,1,1,0,0,100,100,0,0,1
163,1,1,0,0,100,100,0,0,1
164,1,1,0,0,100,100,0,0,1
165,1,1,0,0,100,100,0,0,1
166,1,1,0,0,100,100,0,0,0
167,1,1,0,0,100,100,0,0,0
168,1,1,0,0,100,100,0,0,0
