time_index,train_1_on,train_2_on,train_3_on,train_4_on,train_1_flow_pct,train_2_flow_pct,train_3_flow_pct,train_4_flow_pct,on-peak
1,1,1,1,1,100,100,85,85,0
2,1,1,1,1,100,100,85,85,0
3,1,1,1,1,100,100,85,85,0
4,1,1,1,1,100,100,85,85,0
5,1,1,1,1,100,100,85,85,0
6,1,1,1,1,100,100,85,85,0
7,1,1,1,1,100,100,85,85,0
8,1,1,1,1,100,100,85,85,0
9,1,1,1,1,100,100,85,85,0
10,1,1,1,1,100,100,85,85,0
11,1,1,1,1,100,100,85,85,0
12,1,1,1,1,100,100,85,85,0
13,1,1,1,1,100,100,85,85,0
14,1,1,1,1,100,100,85,85,0
15,1,1,1,1,100,100,85,85,0
16,1,1,1,1,100,100,85,85,0
17,1,1,0,0,100,100,0,0,1
18,1,1,0,0,100,100,0,0,1
19,1,1,0,0,100,100,0,0,1
20,1,1,0,0,100,100,0,0,1
21,1,1,0,0,100,100,0,0,1
22,1,1,1,1,100,100,85,85,0
23,1,1,1,1,100,100,85,85,0
24,1,1,1,1,100,100,85,85,0
25,1,1,1,1,100,100,85,85,0
26,1,1,1,1,100,100,85,85,0
27,1,1,1,1,100,100,85,85,0
28,1,1,1,1,100,100,85,85,0
29,1,1,1,1,100,100,85,85,0
30,1,1,1,1,100,100,85,85,0
31,1,1,1,1,100,100,85,85,0
32,1,1,1,1,100,100,85,85,0
33,1,1,1,1,100,100,85,85,0
34,1,1,1,1,100,100,85,85,0
35,1,1,1,1,100,100,85,85,0
36,1,1,1,1,100,100,85,85,0
37,1,1,1,1,100,100,85,85,0
38,1,1,1,1,100,100,85,85,0
39,1,1,1,1,100,100,85,85,0
40,1,1,1,1,100,100,85,85,0
41,1,1,0,0,100,100,0,0,1
42,1,1,0,0,100,100,0,0,1
43,1,1,0,0,100,100,0,0,1
44,1,1,0,0,100,100,0,0,1
45,1,1,0,0,100,100,0,0,1
46,1,1,1,1,100,100,85,85,0
47,1,1,1,1,100,100,85,85,0
48,1,1,1,1,100,100,85,85,0
49,1,1,1,1,100,100,85,85,0
50,1,1,1,1,100,100,85,85,0
51,1,1,1,1,100,100,85,85,0
52,1,1,1,1,100,100,85,85,0
53,1,1,1,1,100,100,85,85,0
54,1,1,1,1,100,100,85,85,0
55,1,1,1,1,100,100,85,85,0
56,1,1,1,1,100,100,85,85,0
57,1,1,1,1,100,100,85,85,0
58,1,1,1,1,100,100,85,85,0
59,1,1,1,1,100,100,85,85,0
60,1,1,1,1,100,100,85,85,0
61,1,1,1,1,100,100,85,85,0
62,1,1,1,1,100,100,85,85,0
63,1,1,1,1,100,100,85,85,0
64,1,1,1,1,100,100,85,85,0
65,1,1,0,0,100,100,0,0,1
66,1,1,0,0,100,100,0,0,1
67,1,1,0,0,100,100,0,0,1
68,1,1,0,0,100,100,0,0,1
69,1,1,0,0,100,100,0,0,1
70,1,1,1,1,100,100,85,85,0
71,1,1,1,1,100,100,85,85,0
72,1,1,1,1,100,100,85,85,0
73,1,1,1,1,100,100,85,85,0
74,1,1,1,1,100,100,85,85,0
75,1,1,1,1,100,100,85,85,0
76,1,1,1,1,100,100,85,85,0
77,1,1,1,1,100,100,85,85,0
78,1,1,1,1,100,100,85,85,0
79,1,1,1,1,100,100,85,85,0
80,1,1,1,1,100,100,85,85,0
81,1,1,1,1,100,100,85,85,0
82,1,1,1,1,100,100,85,85,0
83,1,1,1,1,100,100,85,85,0
84,1,1,1,1,100,100,85,85,0
85,1,1,1,1,100,100,85,85,0
86,1,1,1,1,100,100,85,85,0
87,1,1,1,1,100,100,85,85,0
88,1,1,1,1,100,100,85,85,0
89,1,1,0,0,100,100,0,0,1
90,1,1,0,0,100,100,0,0,1
91,1,1,0,0,100,100,0,0,1
92,1,1,0,0,100,100,0,0,1
93,1,1,0,0,100,100,0,0,1
94,1,1,1,1,100,100,85,85,0
95,1,1,1,1,100,100,85,85,0
96,1,1,1,1,100,100,85,85,0
97,1,1,1,1,100,100,85,85,0
98,1,1,1,1,100,100,85,85,0
99,1,1,1,1,100,100,85,85,0
100,1,1,1,1,100,100,85,85,0
101,1,1,1,1,100,100,85,85,0
102,1,1,1,1,100,100,85,85,0
103,1,1,1,1,100,100,85,85,0
104,1,1,1,1,100,100,85,85,0
105,1,1,1,1,100,100,85,85,0
106,1,1,1,1,100,100,85,85,0
107,1,1,1,1,100,100,85,85,0
108,1,1,1,1,100,100,85,85,0
109,1,1,1,1,100,100,85,85,0
110,1,1,1,1,100,100,85,85,0
111,1,1,1,1,100,100,85,85,0
112,1,1,1,1,100,100,85,85,0
113,1,1,0,0,100,100,0,0,1
114,1,1,0,0,100,100,0,0,1
115,1,1,0,0,100,100,0,0,1
116,1,1,0,0,100,100,0,0,1
117,1,1,0,0,100,100,0,0,1
118,1,1,1,1,100,100,85,85,0
119,1,1,1,1,100,100,85,85,0
120,1,1,1,1,100,100,85,85,0
121,1,1,1,1,100,100,85,85,0
122,1,1,1,1,100,100,85,85,0
123,1,1,1,1,100,100,85,85,0
124,1,1,1,1,100,100,85,85,0
125,1,1,1,1,100,100,85,85,0
126,1,1,1,1,100,100,85,85,0
127,1,1,1,1,100,100,85,85,0
128,1,1,1,1,100,100,85,85,0
129,1,1,1,1,100,100,85,85,0
130,1,1,1,1,100,100,85,85,0
131,1,1,1,1,100,100,85,85,0
132,1,1,1,1,100,100,85,85,0
133,1,1,1,1,100,100,85,85,0
134,1,1,1,1,100,100,85,85,0
135,1,1,1,1,100,100,85,85,0
136,1,1,1,1,100,100,85,85,0
137,1,1,0,0,100,100,0,0,1
138,1,1,0,0,100,100,0,0,1
139,1,1,0,0,100,100,0,0,1
140,1,1,0,0,100,100,0,0,1
141,1,1,0,0,100,100,0,0,1
142,1,1,1,1,100,100,85,85,0
143,1,1,1,1,100,100,85,85,0
144,1,1,1,1,100,100,85,85,0
145,1,1,1,1,100,100,85,85,0
146,1,1,1,1,100,100,85,85,0
147,1,1,1,1,100,100,85,85,0
148,1,1,1,1,100,100,85,85,0
149,1,1,1,1,100,100,85,85,0
150,1,1,1,1,100,100,85,85,0
151,1,1,1,1,100,100,85,85,0
152,1,1,1,1,100,100,85,85,0
153,1,1,1,1,100,100,85,85,0
154,1,1,1,1,100,100,85,85,0
155,1,1,1,1,100,100,85,85,0
156,1,1,1,1,100,100,85,85,0
157,1,1,1,1,100,100,85,85,0
158,1,1,1,1,100,100,85,85,0
159,1,1,1,1,100,100,85,85,0
160,1,1,1,1,100,100,85,85,0
161,1,1,0,0,100,100,0,0,1
162,1,1,0,0,100,100,0,0,1
163,1,1,0,0,100,100,0,0,1
164,1,1,0,0,100,100,0,0,1
165,1,1,0,0,100,100,0,0,1
166,1,1,1,1,100,100,85,85,0
167,1,1,1,1,100,100,85,85,0
168,1,1,1,1,100,100,85,85,0
169,1,1,1,1,100,100,85,85,0
170,1,1,1,1,100,100,85,85,0
171,1,1,1,1,100,100,85,85,0
172,1,1,1,1,100,100,85,85,0
173,1,1,1,1,100,100,85,85,0
174,1,1,1,1,100,100,85,85,0
175,1,1,1,1,100,100,85,85,0
176,1,1,1,1,100,100,85,85,0
177,1,1,1,1,100,100,85,85,0
178,1,1,1,1,100,100,85,85,0
179,1,1,1,1,100,100,85,85,0
180,1,1,1,1,100,100,85,85,0
181,1,1,1,1,100,100,85,85,0
182,1,1,1,1,100,100,85,85,0
183,1,1,1,1,100,100,85,85,0
184,1,1,1,1,100,100,85,85,0
185,1,1,0,0,100,100,0,0,1
186,1,1,0,0,100,100,0,0,1
187,1,1,0,0,100,100,0,0,1
188,1,1,0,0,100,100,0,0,1
189,1,1,0,0,100,100,0,0,1
190,1,1,1,1,100,100,85,85,0
191,1,1,1,1,100,100,85,85,0
192,1,1,1,1,100,100,85,85,0
193,1,1,1,1,100,100,85,85,0
194,1,1,1,1,100,100,85,85,0
195,1,1,1,1,100,100,85,85,0
196,1,1,1,1,100,100,85,85,0
197,1,1,1,1,100,100,85,85,0
198,1,1,1,1,100,100,85,85,0
199,1,1,1,1,100,100,85,85,0
200,1,1,1,1,100,100,85,85,0
201,1,1,1,1,100,100,85,85,0
202,1,1,1,1,100,100,85,85,0
203,1,1,1,1,100,100,85,85,0
204,1,1,1,1,100,100,85,85,0
205,1,1,1,1,100,100,85,85,0
206,1,1,1,1,100,100,85,85,0
207,1,1,1,1,100,100,85,85,0
208,1,1,1,1,100,100,85,85,0
209,1,1,0,0,100,100,0,0,1
210,1,1,0,0,100,100,0,0,1
211,1,1,0,0,100,100,0,0,1
212,1,1,0,0,100,100,0,0,1
213,1,1,0,0,100,100,0,0,1
214,1,1,1,1,100,100,85,85,0
215,1,1,1,1,100,100,85,85,0
216,1,1,1,1,100,100,85,85,0
217,1,1,1,1,100,100,85,85,0
218,1,1,1,1,100,100,85,85,0
219,1,1,1,1,100,100,85,85,0
220,1,1,1,1,100,100,85,85,0
221,1,1,1,1,100,100,85,85,0
222,1,1,1,1,100,100,85,85,0
223,1,1,1,1,100,100,85,85,0
224,1,1,1,1,100,100,85,85,0
225,1,1,1,1,100,100,85,85,0
226,1,1,1,1,100,100,85,85,0
227,1,1,1,1,100,100,85,85,0
228,1,1,1,1,100,100,85,85,0
229,1,1,1,1,100,100,85,85,0
230,1,1,1,1,100,100,85,85,0
231,1,1,1,1,100,100,85,85,0
232,1,1,1,1,100,100,85,85,0
233,1,1,0,0,100,100,0,0,1
234,1,1,0,0,100,100,0,0,1
235,1,1,0,0,100,100,0,0,1
236,1,1,0,0,100,100,0,0,1
237,1,1,0,0,100,100,0,0,1
238,1,1,1,1,100,100,85,85,0
239,1,1,1,1,100,100,85,85,0
240,1,1,1,1,100,100,85,85,0
241,1,1,1,1,100,100,85,85,0
242,1,1,1,1,100,100,85,85,0
243,1,1,1,1,100,100,85,85,0
244,1,1,1,1,100,100,85,85,0
245,1,1,1,1,100,100,85,85,0
246,1,1,1,1,100,100,85,85,0
247,1,1,1,1,100,100,85,85,0
248,1,1,1,1,100,100,85,85,0
249,1,1,1,1,100,100,85,85,0
250,1,1,1,1,100,100,85,85,0
251,1,1,1,1,100,100,85,85,0
252,1,1,1,1,100,100,85,85,0
253,1,1,1,1,100,100,85,85,0
254,1,1,1,1,100,100,85,85,0
255,1,1,1,1,100,100,85,85,0
256,1,1,1,1,100,100,85,85,0
257,1,1,0,0,100,100,0,0,1
258,1,1,0,0,100,100,0,0,1
259,1,1,0,0,100,100,0,0,1
260,1,1,0,0,100,100,0,0,1
261,1,1,0,0,100,100,0,0,1
262,1,1,1,1,100,100,85,85,0
263,1,1,1,1,100,100,85,85,0
264,1,1,1,1,100,100,85,85,0
265,1,1,1,1,100,100,85,85,0
266,1,1,1,1,100,100,85,85,0
267,1,1,1,1,100,100,85,85,0
268,1,1,1,1,100,100,85,85,0
269,1,1,1,1,100,100,85,85,0
270,1,1,1,1,100,100,85,85,0
271,1,1,1,1,100,100,85,85,0
272,1,1,1,1,100,100,85,85,0
273,1,1,1,1,100,100,85,85,0
274,1,1,1,1,100,100,85,85,0
275,1,1,1,1,100,100,85,85,0
276,1,1,1,1,100,100,85,85,0
277,1,1,1,1,100,100,85,85,0
278,1,1,1,1,100,100,85,85,0
279,1,1,1,1,100,100,85,85,0
280,1,1,1,1,100,100,85,85,0
281,1,1,0,0,100,100,0,0,1
282,1,1,0,0,100,100,0,0,1
283,1,1,0,0,100,100,0,0,1
284,1,1,0,0,100,100,0,0,1
285,1,1,0,0,100,100,0,0,1
286,1,1,1,1,100,100,85,85,0
287,1,1,1,1,100,100,85,85,0
288,1,1,1,1,100,100,85,85,0
289,1,1,1,1,100,100,85,85,0
290,1,1,1,1,100,100,85,85,0
291,1,1,1,1,100,100,85,85,0
292,1,1,1,1,100,100,85,85,0
293,1,1,1,1,100,100,85,85,0
294,1,1,1,1,100,100,85,85,0
295,1,1,1,1,100,100,85,85,0
296,1,1,1,1,100,100,85,85,0
297,1,1,1,1,100,100,85,85,0
298,1,1,1,1,100,100,85,85,0
299,1,1,1,1,100,100,85,85,0
300,1,1,1,1,100,100,85,85,0
301,1,1,1,1,100,100,85,85,0
302,1,1,1,1,100,100,85,85,0
303,1,1,1,1,100,100,85,85,0
304,1,1,1,1,100,100,85,85,0
305,1,1,0,0,100,100,0,0,1
306,1,1,0,0,100,100,0,0,1
307,1,1,0,0,100,100,0,0,1
308,1,1,0,0,100,100,0,0,1
309,1,1,0,0,100,100,0,0,1
310,1,1,1,1,100,100,85,85,0
311,1,1,1,1,100,100,85,85,0
312,1,1,1,1,100,100,85,85,0
313,1,1,1,1,100,100,85,85,0
314,1,1,1,1,100,100,85,85,0
315,1,1,1,1,100,100,85,85,0
316,1,1,1,1,100,100,85,85,0
317,1,1,1,1,100,100,85,85,0
318,1,1,1,1,100,100,85,85,0
319,1,1,1,1,100,100,85,85,0
320,1,1,1,1,100,100,85,85,0
321,1,1,1,1,100,100,85,85,0
322,1,1,1,1,100,100,85,85,0
323,1,1,1,1,100,100,85,85,0
324,1,1,1,1,100,100,85,85,0
325,1,1,1,1,100,100,85,85,0
326,1,1,1,1,100,100,85,85,0
327,1,1,1,1,100,100,85,85,0
328,1,1,1,1,100,100,85,85,0
329,1,1,0,0,100,100,0,0,1
330,1,1,0,0,100,100,0,0,1
331,1,1,0,0,100,100,0,0,1
332,1,1,0,0,100,100,0,0,1
333,1,1,0,0,100,100,0,0,1
334,1,1,1,1,100,100,85,85,0
335,1,1,1,1,100,100,85,85,0
336,1,1,1,1,100,100,85,85,0
337,1,1,1,1,100,100,85,85,0
338,1,1,1,1,100,100,85,85,0
339,1,1,1,1,100,100,85,85,0
340,1,1,1,1,100,100,85,85,0
341,1,1,1,1,100,100,85,85,0
342,1,1,1,1,100,100,85,85,0
343,1,1,1,1,100,100,85,85,0
344,1,1,1,1,100,100,85,85,0
345,1,1,1,1,100,100,85,85,0
346,1,1,1,1,100,100,85,85,0
347,1,1,1,1,100,100,85,85,0
348,1,1,1,1,100,100,85,85,0
349,1,1,1,1,100,100,85,85,0
350,1,1,1,1,100,100,85,85,0
351,1,1,1,1,100,100,85,85,0
352,1,1,1,1,100,100,85,85,0
353,1,1,0,0,100,100,0,0,1
354,1,1,0,0,100,100,0,0,1
355,1,1,0,0,100,100,0,0,1
356,1,1,0,0,100,100,0,0,1
357,1,1,0,0,100,100,0,0,1
358,1,1,1,1,100,100,85,85,0
359,1,1,1,1,100,100,85,85,0
360,1,1,1,1,100,100,85,85,0
361,1,1,1,1,100,100,85,85,0
362,1,1,1,1,100,100,85,85,0
363,1,1,1,1,100,100,85,85,0
364,1,1,1,1,100,100,85,85,0
365,1,1,1,1,100,100,85,85,0
366,1,1,1,1,100,100,85,85,0
367,1,1,1,1,100,100,85,85,0
368,1,1,1,1,100,100,85,85,0
369,1,1,1,1,100,100,85,85,0
370,1,1,1,1,100,100,85,85,0
371,1,1,1,1,100,100,85,85,0
372,1,1,1,1,100,100,85,85,0
373,1,1,1,1,100,100,85,85,0
374,1,1,1,1,100,100,85,85,0
375,1,1,1,1,100,100,85,85,0
376,1,1,1,1,100,100,85,85,0
377,1,1,0,0,100,100,0,0,1
378,1,1,0,0,100,100,0,0,1
379,1,1,0,0,100,100,0,0,1
380,1,1,0,0,100,100,0,0,1
381,1,1,0,0,100,100,0,0,1
382,1,1,1,1,100,100,85,85,0
