Flow (gpm),Head (ft),speed,pump_efficiency,total_efficiency,power
400,50,72.20692757,63.22028209,58.25748995,6.471136059
400,60,78.87981461,59.84686696,55.1488879,8.203076977
400,70,85.03706782,57.01344995,52.53789413,10.0458728
400,80,90.78019233,54.59569541,50.30993332,11.98943013
400,90,96.1816576,52.50323752,48.38173338,14.02566241
580,50,73.80008166,75.78621466,69.83699681,7.827349881
580,60,80.23311901,73.06578883,67.33012441,9.742538517
580,70,86.2241018,70.52285401,64.98680997,11.7761443
580,80,91.84739941,68.19336339,62.84018437,13.91819236
580,90,97.15986149,66.07253364,60.88583975,16.16056376
760,50,76.61973701,80.92686623,74.57410723,9.605010372
760,60,82.6242655,79.79299057,73.52924081,11.68979958
760,70,88.29684365,78.32610481,72.17750558,13.89351287
760,80,93.67726925,76.73270488,70.70918755,16.20802271
760,90,98.80027408,75.11749592,69.22077249,18.62610147
940,50,80.78196388,80.65124281,74.32012025,11.92048042
940,60,86.24089968,81.29025112,74.90896641,14.19213075
940,70,91.47934889,81.21757796,74.84199809,16.57230145
940,80,96.51010585,80.71291767,74.37695363,19.05819467
1120,50,86.14141349,77.34445649,71.27291666,14.8103663
1120,60,91.03303251,79.38450431,73.15282072,17.31571785
1120,70,95.79077765,80.57036114,74.24558779,19.90433705
