Flow (gpm),Head 100% Speed (ft),MCSF (ft)
940.1563023847187,303.51839130345235,
999.4287228930826,301.7486978992571,
1058.7011434014466,299.95219095863456,
1088.3373536556287,299.0673442565369,
1147.6097741639928,297.4049049980505,
1206.882194672357,295.66202513028236,
1295.7908254349027,293.1147391696982,
1355.0632459432668,291.5595540569206,
1414.335666451631,290.138436626279,
1503.2442972141766,287.6715912749765,
1562.5167177225408,286.3041009171892,
1621.7891382309049,284.99023763225637,
1681.0615587392685,283.7836284930323,
1769.9701895018147,281.6653591152834,
1829.2426100101789,280.4855635124866,
1888.5150305185425,279.4934626646802,
1947.7874510269066,278.5281753533009,
2007.0598715352708,277.67014218763046,
2036.6960817894528,276.8925496312416,
2095.9685022978165,275.8468217105808,
2125.6047125519985,275.873635247008,
2229.780481930335,273.41796220255014,
2262.1799751919007,274.0456739655767,
2378.859600178645,272.36106197504466,
2438.1320206870087,271.36896112723826,
2497.404441195373,270.1087249151597,
2527.040651449555,269.8942166237422,
2586.313071957919,269.1166240673533,
2615.949282212101,269.0898105309262,
2675.2217027204647,267.7223201731389,
2764.130333483011,264.34381458331154,
2823.402753991375,263.61984909977707,
2882.675174499739,261.608833867737,
2941.947595008103,259.81232692711455,
3001.220015516467,257.5063627943753,
3060.492436024831,255.20039866163597,
3119.7648565331947,254.18148427740232,
3179.037277041559,251.68782538967264,
3297.582118058287,247.20698552450483,
3416.126959075015,241.84342701568602,
3475.399379583379,238.67432237700433,
3534.671800091743,235.68014414263365,
3623.5804308542893,231.49723245999024,
3682.8528513626534,228.9573521428003,
3742.1252718710166,224.96366741722892,
3890.60567880106,216.91066864359289,
3919.942533396109,215.3822970672424,
3949.5787436502906,214.2025014644455,
4008.8511641586547,211.2734418185409,
4068.123584667019,207.36504967550928,
4127.396005175383,203.7988493306915,
4184.142612309811,201.3659398614297,
4244.075630162128,197.46456877661439,
4301.396482046527,193.52777523816098,
4361.79148627664,189.37316673285738,
4415.675504920608,184.80337402462152,
4491.113131022162,180.14931020190016,
4550.385551530526,176.82443168492722,
4609.65797203889,172.45382524729348,
4668.930392547254,168.6194895382037,
4728.202813055618,164.40976431913316,
4787.475233563982,160.03915788149942,
4846.747654072346,155.64173790743843,
4906.02007458071,151.13706378766864,
4965.292495089074,146.63238966789885,
5024.564915597438,141.91320725671147,
5113.4735463599845,134.51267120280403,
5172.745966868348,129.7666752551894,
5261.654597630894,122.09800383700986,
5292.119792787291,120.50775486890439,
540.0674639532617,,105.44105195791224
573.7449756057412,,118.58543056504658
603.3811858599232,,131.08053854012223
631.6702956480061,,143.58637192976886
658.6123049699896,,156.0627104293455
685.5543142919734,,169.0699569501807
711.1492231478579,,181.91006576061972
735.3970315376431,,194.4945521904528
758.2977394613291,,206.69806295688267
781.1984473850154,,219.46689244965273
804.0991553087014,,232.4692231554763
825.6527627662882,,245.00455143519275
847.2063702238753,,257.9823030659581
868.7599776814621,,271.29187221001
888.9664846729498,,283.9904757740421
910.5200921305367,,297.4317185344776
923.9910967915285,,303.03574764776266
