Flow (gpm),Head (ft),efficiency,speed
1000,140,58.61067573,67.69829629
1000,159.4444444,56.63978405,71.99854412
1000,178.8888889,55.01580958,76.0334504
1000,198.3333333,53.65533083,79.84524018
1000,217.7777778,52.49928813,83.4662564
1000,237.2222222,51.5048845,86.92186286
1000,256.6666667,50.64042492,90.23235315
1000,276.1111111,49.88196821,93.41424591
1000,295.5555556,49.21110695,96.48118837
1305.555556,140,68.00500682,68.74769369
1305.555556,159.4444444,65.55765452,73.06873409
1305.555556,178.8888889,63.46075248,77.1347949
1305.555556,198.3333333,61.65219521,80.98290465
1305.555556,217.7777778,60.08029721,84.64250922
1305.555556,237.2222222,58.70348942,88.1373237
1305.555556,256.6666667,57.4886522,91.48669639
1305.555556,276.1111111,56.40937644,94.70660865
1305.555556,295.5555556,55.44449155,97.8104126
1611.111111,140,75.92264137,69.89586349
1611.111111,159.4444444,73.54983351,74.1539811
1611.111111,178.8888889,71.367001,78.18797764
1611.111111,198.3333333,69.38727427,82.02397976
1611.111111,217.7777778,67.60107454,85.68456993
1611.111111,237.2222222,65.99075838,89.18903828
1611.111111,256.6666667,64.53690624,92.55381834
1611.111111,276.1111111,63.22092877,95.79293535
1611.111111,295.5555556,62.02603099,98.91840768
1916.666667,140,81.06838939,71.41463369
1916.666667,159.4444444,79.42272379,75.51081029
1916.666667,178.8888889,77.66216435,79.43140806
1916.666667,198.3333333,75.90533962,83.18873945
1916.666667,217.7777778,74.2114792,86.7957234
1916.666667,237.2222222,72.60791091,90.26485301
1916.666667,256.6666667,71.10483175,93.60773453
1916.666667,276.1111111,69.70334104,96.83492565
2222.222222,140,82.88475643,73.47673123
2222.222222,159.4444444,82.46615853,77.32738103
2222.222222,178.8888889,81.58806964,81.05713316
2222.222222,198.3333333,80.45511804,84.66650567
2222.222222,217.7777778,79.19395256,88.1590041
2222.222222,237.2222222,77.88257808,91.53977687
2222.222222,256.6666667,76.56858143,94.81475608
2222.222222,276.1111111,75.28045803,97.99012759
2527.777778,140,81.63935037,76.13683722
2527.777778,159.4444444,82.62878871,79.69471277
2527.777778,178.8888889,82.88990112,83.18006774
2527.777778,198.3333333,82.66115167,86.58664556
2527.777778,217.7777778,82.10819708,89.91146936
2527.777778,237.2222222,81.34575253,93.15389592
2527.777778,256.6666667,80.45309585,96.31487975
2527.777778,276.1111111,79.48490454,99.39642456
2833.333333,140,78.11462641,79.36026077
2833.333333,159.4444444,80.3969664,82.6152386
2833.333333,178.8888889,81.81026046,85.83347288
2833.333333,198.3333333,82.5793374,89.00654268
2833.333333,217.7777778,82.87416185,92.1285053
2833.333333,237.2222222,82.82249237,95.19544793
2833.333333,256.6666667,82.52000262,98.20506647
3138.888889,159.4444444,76.49401747,86.03605688
3138.888889,178.8888889,78.89675683,88.98976894
3138.888889,198.3333333,80.59175107,91.9220164
3138.888889,217.7777778,81.72970668,94.82639474
3138.888889,237.2222222,82.43128057,97.69789809
3444.444444,198.3333333,77.22393518,95.29015776
3444.444444,217.7777778,79.09738569,97.97880664
