Flow (gpm),Head (ft),speed,pump_efficiency,total_efficiency,power
1100,220,84.28318774,54.79567406,50.49421364,90.3391619
1100,234.2857143,86.83483162,53.9641087,49.72792617,97.68782711
1100,248.5714286,89.30638763,53.21220512,49.03504702,105.1089268
1100,262.8571429,91.70474224,52.52906803,48.40553619,112.5951639
1100,277.1428571,94.03586875,51.90568586,47.83108952,120.1402153
1100,291.4285714,96.30498533,51.33454633,47.30478444,127.7385697
1442.857143,220,85.52331391,63.33809647,58.3660559,102.5151313
1442.857143,234.2857143,88.09936327,62.22947221,57.34445864,111.1168673
1442.857143,248.5714286,90.59650789,61.21210662,56.40695625,119.8516951
1442.857143,262.8571429,93.0211105,60.27583875,55.54418541,128.7083786
1442.857143,277.1428571,95.3787704,59.41178885,54.74796343,137.6769891
1442.857143,291.4285714,97.67443812,58.61221494,54.01115607,146.7487101
1785.714286,220,86.70460696,71.34644269,65.74574694,112.6339447
1785.714286,234.2857143,89.27076778,70.13959365,64.63363555,122.0117062
1785.714286,248.5714286,91.76411955,69.00405752,63.587239,131.5817074
1785.714286,262.8571429,94.18967976,67.93667681,62.60364768,141.3300204
1785.714286,277.1428571,96.55200932,66.93357543,61.67928976,151.2441562
1785.714286,291.4285714,98.85525114,65.9905953,60.81033357,161.3128704
2128.571429,220,88.10107802,77.70880361,71.60866253,123.2672341
2128.571429,234.2857143,90.61044434,76.65664934,70.63910236,133.0733742
2128.571429,248.5714286,93.05837587,75.62036743,69.68416859,143.1224027
2128.571429,262.8571429,95.44790169,74.60915298,68.75233447,153.3991195
2128.571429,277.1428571,97.78196917,73.62872069,67.84886612,163.889688
2471.428571,220,89.93300027,81.64182207,75.23293904,136.2275732
2471.428571,234.2857143,92.3374897,80.9966516,74.63841445,146.2290877
2471.428571,248.5714286,94.69533542,80.2895182,73.98679102,156.5119075
2471.428571,262.8571429,97.00753419,79.54255345,73.298463,167.0610792
2471.428571,277.1428571,99.27528384,78.77234336,72.58871441,177.8627294
2814.285714,220,92.33092279,82.8898301,76.38297844,152.790581
2814.285714,234.2857143,94.59359617,82.8200628,76.31868787,162.8491153
2814.285714,248.5714286,96.8246585,82.61227456,76.12721101,173.2135169
2814.285714,262.8571429,99.02362901,82.29684867,75.83654605,183.8703609
3157.142857,220,95.33086487,81.7150666,75.30043387,173.8688335
3157.142857,234.2857143,97.43227487,82.26673038,75.80879204,183.9173792
3157.142857,248.5714286,99.51473808,82.62584552,76.13971665,194.2837556
3500,220,98.89922918,78.69117823,72.51392074,200.1573959
3000,254,99.02220228,82.88735076,76.38069373,188.050147
3000,240,96.92258044,82.84812869,76.34455059,177.7692982
3330,230,98.4767745,80.99770964,74.63938943,193.4221898
2640,230,92.67792873,82.33393214,75.87071847,150.8550561
2640,250,95.90236301,81.68005948,75.26817481,165.2855378
1980,270,96.05973503,71.38018063,65.77683645,153.1998276
2280,270,97.24974005,76.58049127,70.5689227,164.4324122
