efficiency,Flow (gpm),Head (ft)
68,1626.3746966824795,165.89545470877724
68,1649.1644393555705,177.54176096287034
68,1669.099478525891,188.08950363932922
68,1689.0345176962117,198.63724631578813
68,1711.8187351367167,210.61329845061422
68,1734.5992690888322,222.80918117259571
68,1757.376119552556,235.2248944817325
68,1777.3056334902901,246.10238303892442
68,1794.3847413283754,255.62483900013424
68,1811.4589378486069,265.4404024108845
68,1828.530678709911,275.40251954640496
68,1845.604875230142,285.2180829571553
68,1862.6766160914465,295.1802000926757
68,2825.4114476987393,109.23316985975765
68,2888.5785855226413,111.69829423582826
68,2923.032596478669,113.09014385637937
59,1209.6623917433624,172.53186313667
59,1235.353986570626,182.46290145280895
59,1258.1824058718196,191.80098654177098
59,1281.0034581962318,201.57873280504367
59,1303.8226687764486,211.466394361894
59,1326.6308288914936,222.01354768021042
59,1349.4389890065386,232.56070099852678
59,1372.2453073773881,243.21776961042087
59,1395.0387335388705,254.6442452773586
59,1417.8321597003528,266.0707209442964
59,1437.7690406148683,276.50854832717766
59,1457.7040797851887,287.0562910036365
59,1480.4827719931081,299.36208901919565
75,2240.116611464256,231.77346585967223
75,2245.5875125965026,248.2046235332491
75,2246.151086320275,214.57054369848166
75,2252.082730458722,260.66031496971937
75,2260.729105541094,201.89069971514436
75,2262.4063205883135,273.26177432010314
75,2273.6933475703104,285.5210785266422
75,2283.8795845105788,192.0082638004909
75,2324.26109475044,182.58149340792914
75,2381.8464454191026,175.23313796264208
75,2445.1267667953725,170.9434679333939
75,2508.3749413638693,168.57231939204684
75,2571.603024177508,167.40024678063807
75,2634.819721663394,166.9076505295276
75,2698.0196760202307,167.41428422003236
75,2761.2156120260966,168.16073309652467
75,2824.403511330019,169.3868123449924
75,2887.587392282969,170.85270677944771
75,2950.7659154346243,172.6383547952199
75,3013.9404202353076,174.66381799697973
75,3077.1122461353434,176.84915798939798
75,3140.2807234095694,179.23434397013926
75,3203.4458520579856,181.8193759392036
75,3266.608971530916,184.52431550126178
75,3329.7687423780367,187.42910105164296
75,3392.9278434999956,190.37385579968878
75,3456.0822565458207,193.59839493138685
75,3519.2373393168077,196.78296486542027
75,3582.3884037368234,200.2073499854414
75,3645.5381287065147,203.71167350079168
75,3679.989460761895,205.2633999120013
80,2664.6579868033277,272.2999418315307
80,2687.7995026177286,262.9524270122886
80,2728.197240670333,252.55718075520352
80,2783.509423216771,243.69768394586484
80,2846.2419094105735,237.8093638816608
80,2909.509506008767,234.27910860804016
80,2972.755671401778,232.02786765968696
80,3035.9810753147685,231.01567183893658
80,3099.191745274197,230.8827983668076
80,3162.39036018071,231.46937045264156
80,3225.581608110442,232.49560371278622
80,3288.7668285137165,233.8815597519123
80,3351.9453516653716,235.6672077676845
80,3409.376665546788,237.51176778525723
83,2863.015176091373,265.58442010970816
83,2926.3490754805985,258.09721426729135
83,2989.6280574065445,253.88748263337234
83,3052.8876173027943,250.836857731727
83,3116.1210579177286,249.34503153900135
83,3179.338425128776,248.81246609022628
83,3231.0532626834956,248.8817960389904
48,864.8539902832097,174.62502751560012
48,890.5334295987839,185.28150676935167
48,913.3415897138291,195.82866008766806
48,936.138699363702,207.03530516745045
48,958.9413342461607,217.91220436649988
48,981.7310769192525,229.55851062059295
48,1004.5189778481488,241.31473216826376
48,1024.4497196153463,252.11894386307054
48,1041.5337387712862,261.3482923747399
48,1058.6079352915172,271.16385578549017
48,1075.6821318117486,280.9794191962404
48,1092.7563283319798,290.7949826069907
48,1112.6735639750784,302.4052397880337
