Flow (gpm),Head (ft),speed,pump_efficiency,total_efficiency,power
400,40,64.86920564,67.29946645,62.01645833,4.86312381
400,48.75,71.32984068,63.68774936,58.68826104,6.263047052
400,57.5,77.26475188,60.63384398,55.87408723,7.75924918
400,66.25,82.78130431,58.02144409,53.46676073,9.342525784
400,75,87.95533468,55.75893533,51.38185891,11.00560057
400,83.75,92.84256111,53.77689522,49.55540894,12.74254122
400,92.5,97.48525173,52.02278611,47.9389974,14.54839492
525,40,66.08437695,76.11392705,70.13898377,5.643676737
525,48.75,72.34341731,73.1983776,67.45230496,7.152196422
525,57.5,78.14137674,70.4793355,64.94670766,8.761375868
525,66.25,83.5607419,68.00341018,62.66514248,10.46216244
525,75,88.66344237,65.76390318,60.60143678,12.24728856
525,83.75,93.49691274,63.73823329,58.73478198,14.11078135
525,92.5,98.09822634,61.90091596,57.04169405,16.04763085
650,40,67.9731532,80.45684633,74.14098389,6.61024121
650,48.75,73.91935573,78.83962375,72.65071329,8.221487457
650,57.5,79.49210992,76.95744987,70.91629006,9.934305198
650,66.25,84.74406884,75.02596581,69.1364275,11.74071671
650,75,89.71894812,73.14094652,67.39938222,13.63392839
650,83.75,94.45261493,71.34324025,65.74279589,15.60818152
650,92.5,98.97452531,69.64769837,64.18035405,17.65856
775,40,70.59265502,81.25959314,74.88071508,7.803582304
775,48.75,76.1461449,81.15577538,74.78504702,9.522782298
775,57.5,81.41937521,80.38652223,74.07618024,11.33948346
775,66.25,86.43847555,79.27351178,73.05054111,13.24849214
775,75,91.22902652,77.99348464,71.87099609,15.2444446
775,83.75,95.81437695,76.64548896,70.62881808,17.32235298
900,40,73.90392473,79.67277881,73.41846567,9.242713707
900,48.75,79.02978299,80.95496396,74.59999929,11.08614643
900,57.5,83.95812156,81.32668083,74.94253639,13.01620174
900,66.25,88.69682995,81.13343544,74.76446076,15.0326481
900,75,93.25720667,80.58962603,74.26334039,17.13292829
900,83.75,97.65169225,79.83045512,73.5637644,19.31370905
1025,48.75,82.51699105,79.0902978,72.88170942,12.92356226
1025,57.5,87.08614905,80.45009696,74.13476435,14.98552985
1025,66.25,91.52035791,81.12540988,74.75706521,17.12220959
1025,75,95.8217876,81.32795765,74.94371298,19.33535844
1025,83.75,99.99502998,81.20304347,74.82860455,21.6243638
1150,57.5,90.74536842,78.39693165,72.24277252,17.25335604
1150,66.25,94.8722198,79.79495988,73.53105553,19.53058389
1150,75,98.90372595,80.66354818,74.33145965,21.87201258
1275,66.25,98.69456515,77.62616487,71.53251093,22.25844916
778,90,99.01138138,75.78080519,69.83201198,18.9003504
840,88,98.82702856,78.00744255,71.88385831,19.38353055
590,92,98.2587048,66.2945283,61.09040783,16.74823781
715,45,72.57205657,80.85235361,74.50544385,8.140158358
830,45,75.06645944,81.22016818,74.84438498,9.406621872
965,45,78.69097826,79.47926707,73.2401446,11.17616844
