Flow (gpm),Head (ft),speed,pump_efficiency,total_efficiency,power
1000,100,57.75193132,64.33223364,59.2821533,31.79642801
1000,124.4444444,64.0296205,60.5164714,55.76592839,42.06383652
1000,148.8888889,69.70025856,57.66001426,53.13370314,52.81952707
1000,173.3333333,74.90501732,55.44981091,51.09700075,63.94240756
1000,197.7777778,79.7391147,53.69112774,49.47637422,75.34977011
1000,222.2222222,84.26988944,52.25903856,48.15670404,86.98273029
1000,246.6666667,88.54684189,51.07040669,47.06137976,98.79799101
1000,271.1111111,92.60752689,50.06797706,46.13764086,110.7628794
1000,295.5555556,96.48118837,49.21110695,45.34803505,122.8522056
1311.111111,100,58.86454879,74.55940124,68.70648824,35.97029926
1311.111111,124.4444444,65.09582155,70.42364842,64.89539202,47.39182741
1311.111111,148.8888889,70.77626954,66.99859531,61.73920558,59.5995601
1311.111111,173.3333333,76.01553875,64.18163961,59.1433809,72.4298764
1311.111111,197.7777778,80.89479518,61.84654867,56.9915946,85.76468298
1311.111111,222.2222222,85.47472004,59.88828481,55.18705445,99.51580807
1311.111111,246.6666667,89.80153877,58.22625911,53.65549777,113.615619
1311.111111,271.1111111,93.91117584,56.79971784,52.34093999,128.0110917
1311.111111,295.5555556,97.83208167,55.5627435,51.20106813,142.6598977
1622.222222,100,60.36998812,81.10000952,74.73365877,40.91630488
1622.222222,124.4444444,66.3606118,78.13339504,71.99992353,52.85135532
1622.222222,148.8888889,71.91726291,75.06685874,69.17411033,65.81598078
1622.222222,173.3333333,77.09785611,72.23178117,66.56158635,79.62896591
1622.222222,197.7777778,81.95585904,69.70483938,64.23300949,94.1525037
1622.222222,222.2222222,86.53658119,67.47855816,62.18149134,109.2795765
1622.222222,246.6666667,90.87739272,65.52047707,60.37711962,124.9253933
1622.222222,271.1111111,95.00894304,63.79388802,58.78606781,141.0215736
1622.222222,295.5555556,98.95645051,62.26477935,57.37699417,157.512123
1933.333333,100,62.53747824,82.85404075,76.34999855,47.7309425
1933.333333,124.4444444,68.11407317,82.27560802,75.81697279,59.81610314
1933.333333,148.8888889,73.40145466,80.55604783,74.23239808,73.09334574
1933.333333,173.3333333,78.40805132,78.43935148,72.28186239,87.39001185
1933.333333,197.7777778,83.15474573,76.25853328,70.27223842,102.5658417
1933.333333,222.2222222,87.66587587,74.15805796,68.33665041,118.5066829
1933.333333,246.6666667,91.96526614,72.19516063,66.52784052,135.118894
1933.333333,271.1111111,96.07469417,70.38663464,64.86128382,152.3248712
2244.444444,100,65.43300542,80.38906118,74.07851987,57.1108821
2244.444444,124.4444444,70.50464987,82.5788297,76.09639157,69.18669965
2244.444444,148.8888889,75.41544418,82.82203855,76.32050852,82.53386779
2244.444444,173.3333333,80.14496363,82.03498971,75.59524302,97.00604218
2244.444444,197.7777778,84.68898277,80.7295059,74.39223968,112.4763005
2244.444444,222.2222222,89.05233413,79.18956647,72.9731855,128.8354402
2244.444444,246.6666667,93.24438568,77.57172531,71.48234487,145.9899094
2244.444444,271.1111111,97.2763915,75.96113096,69.99818218,163.8595356
2555.555556,124.4444444,73.54105867,79.74624116,73.48616123,81.57509401
2555.555556,148.8888889,78.02937485,82.02083586,75.58220024,94.89217248
2555.555556,173.3333333,82.41787975,82.83874623,76.33590465,109.3807415
2555.555556,197.7777778,86.68999939,82.75369266,76.25752778,124.9345055
2555.555556,222.2222222,90.83799471,82.12063731,75.67416728,141.4579847
2555.555556,246.6666667,94.86006631,81.1657151,74.79420646,158.8656987
2555.555556,271.1111111,98.75817612,80.03249608,73.74994514,177.0815221
2866.666667,148.8888889,81.21951714,78.85712415,72.66683991,110.7147581
2866.666667,173.3333333,85.24711703,81.2082027,74.83335878,125.1602297
2866.666667,197.7777778,89.21177887,82.42865592,75.95800643,140.696546
2866.666667,222.2222222,93.10065727,82.87025983,76.36494443,157.2435887
2866.666667,246.6666667,96.90585145,82.7812737,76.28294372,174.7280065
3177.777778,173.3333333,88.59173589,77.78847639,71.68208099,144.8429336
3177.777778,197.7777778,92.24411937,80.18539379,73.89084038,160.329233
3177.777778,222.2222222,95.85661719,81.68458759,75.27234747,176.8389201
3177.777778,246.6666667,99.41945328,82.51765682,76.04002076,194.3095144
3488.888889,197.7777778,95.73818238,76.58652381,70.57448169,184.2974128
3488.888889,222.2222222,99.07805332,78.99810347,72.79675235,200.7543315
1760,290,98.54060207,65.54254438,60.39745464,159.2921352
1930,288,98.80157597,69.16065377,63.73154245,164.3984322
2110,280,98.17115187,73.10714447,67.36823363,165.3056245
2725,263,98.4709303,81.79413806,75.37329822,179.2284875
3350,225,97.97649288,80.53407045,74.21214592,191.4496778
