Flow (gpm),Head (ft),speed,pump_efficiency,total_efficiency,power
600,50,41.22787432,50.66826613,46.69080724,12.11133945
600,75.55555556,50.26759677,43.73721186,40.30384073,21.2018386
600,101.1111111,57.87045608,39.34844532,36.25959236,31.53766389
600,126.6666667,64.55770127,36.24807068,33.40259714,42.88798685
600,152.2222222,70.59627348,33.90606837,31.244442,55.10091865
600,177.7777778,76.14437374,32.05506682,29.53874407,68.06737492
600,203.3333333,81.30484626,30.54363748,28.14596194,81.70451176
600,228.8888889,86.14898512,29.27871016,26.98033141,95.94690846
600,254.4444444,90.72861019,28.19948858,25.98582872,110.7413864
600,280,95.08278341,27.26433839,25.12408783,126.0437406
1144.444444,50,43.22914973,74.63861628,68.77948491,15.68224033
1144.444444,75.55555556,52.04273626,67.25023277,61.9710895,26.30112295
1144.444444,101.1111111,59.5599707,61.64719408,56.80788934,38.39611192
1144.444444,126.6666667,66.21138392,57.3273992,52.82719837,51.72515284
1144.444444,152.2222222,72.2356321,53.88981489,49.65946442,66.12612078
1144.444444,177.7777778,77.77983111,51.07669772,47.06717695,81.48099852
1144.444444,203.3333333,82.94181036,48.72140722,44.89677675,97.69907162
1144.444444,228.8888889,87.79036342,46.71249558,43.04556468,114.707898
1144.444444,254.4444444,92.37597446,44.97274049,41.44238037,132.4479681
1144.444444,280,96.73695584,43.44689858,40.03631704,150.8693195
1688.888889,50,46.46373382,82.47392523,75.9997221,20.94408458
1688.888889,75.55555556,54.59400032,79.72216394,73.46397407,32.74125846
1688.888889,101.1111111,61.76366975,75.81637665,69.86479108,46.07272516
1688.888889,126.6666667,68.21631142,72.06621843,66.40902028,60.72096314
1688.888889,152.2222222,74.11765818,68.7173021,63.32299388,76.52793607
1688.888889,177.7777778,79.58169751,65.77382576,60.61058043,93.37538664
1688.888889,203.3333333,84.68941743,63.1864547,58.22631801,111.1712875
1688.888889,228.8888889,89.50029495,60.90020851,56.11954214,129.8416347
1688.888889,254.4444444,94.05931279,58.86640167,54.24538914,149.325345
1688.888889,280,98.40136227,57.04461448,52.56661224,169.5709391
2233.333333,50,51.15409847,79.45997479,73.22236677,28.74630931
2233.333333,75.55555556,58.31790664,82.46454246,75.99107588,41.85618698
2233.333333,101.1111111,64.89211648,81.94768665,75.51479324,56.36671141
2233.333333,126.6666667,70.9570166,80.17053841,73.87715115,72.17853359
2233.333333,152.2222222,76.59318477,77.98536637,71.86351511,89.17137303
2233.333333,177.7777778,81.86845665,75.73165979,69.78672449,107.240915
2233.333333,203.3333333,86.83740366,73.54672841,67.77331023,126.3006933
2233.333333,228.8888889,91.54357606,71.48310478,65.87168105,146.278944
2233.333333,254.4444444,96.02190654,69.55639046,64.09621381,167.1153908
2777.777778,50,57.00895827,72.28562242,66.61120106,39.30271422
2777.777778,75.55555556,63.20169717,79.16468815,72.95026013,54.22996973
2777.777778,101.1111111,69.07235047,81.90388252,75.47442774,70.14534535
2777.777778,126.6666667,74.62287137,82.53803257,76.05879701,87.19923873
2777.777778,152.2222222,79.87567592,82.08523804,75.64154685,105.3701164
2777.777778,177.7777778,84.8591496,81.07193168,74.70778505,124.598099
2777.777778,203.3333333,89.60151377,79.77908024,73.51642244,144.8184915
2777.777778,228.8888889,94.12854985,78.36051872,72.209218,165.9708709
2777.777778,254.4444444,98.46298861,76.9018798,70.86508224,188.0011393
3322.222222,50,63.66156215,64.7626522,59.678784,52.46637055
3322.222222,75.55555556,69.01809692,73.35019437,67.59220411,70.00044132
3322.222222,101.1111111,74.20714123,78.26172456,72.11817918,87.79809905
3322.222222,126.6666667,79.20891818,80.91431838,74.56254439,106.3830912
3322.222222,152.2222222,84.01992862,82.16461735,75.71469489,125.9009086
3322.222222,177.7777778,88.64556476,82.5358674,76.05680181,146.376176
3322.222222,203.3333333,93.09557734,82.35255729,75.88788154,167.7904096
3322.222222,228.8888889,97.38147535,81.81928127,75.39646769,190.109883
3866.666667,75.55555556,75.51842136,67.12764126,61.85812142,89.02433034
3866.666667,101.1111111,80.10901423,73.11724536,67.3775416,109.3761824
3866.666667,126.6666667,84.59343811,77.08711836,71.03577957,129.9643473
3866.666667,152.2222222,88.96101884,79.64855022,73.39613903,151.162436
3866.666667,177.7777778,93.20760231,81.22247357,74.84650939,173.1190902
3866.666667,203.3333333,97.33330642,82.09999186,75.65514249,195.8886015
4411.111111,101.1111111,86.59373908,67.72522099,62.40879115,134.7111099
4411.111111,126.6666667,90.62079218,72.37587762,66.69437122,157.9150278
4411.111111,152.2222222,94.57766051,75.77403018,69.82576881,181.2644482
4411.111111,177.7777778,98.45777327,78.22358351,72.0830322,205.0665041
4955.555556,126.6666667,97.14811318,67.56637734,62.26241672,190.0338739
4690,145,96.61611661,72.62197965,66.92115424,191.5489283
4690,110,91.42540256,66.90255402,61.65070353,157.7356266
3585,215,96.96404815,82.53093688,76.05225833,191.0371408
3065,235,96.78465034,80.32264104,74.01731372,183.4287161
2000,200,85.21130516,69.92657478,64.43733866,117.0104637
2000,250,94.36210275,65.72063545,60.56156557,155.6235132
2000,100,63.13897802,80.32874613,74.02293956,50.9290966
2000,75,56.41481079,82.29474019,75.83460308,37.28431302
2600,150,78.25269349,81.36724272,74.97991417,98.04421475
2600,75,61.35458756,80.5914428,74.26501454,49.49401041
2600,115,70.75132872,82.51690913,76.03933176,74.11996425
