Recovery,Feed Flow,Stage1 RR,Stage2 RR,Stage3 RR,Stage1 Qin (m3/s),Stage2 Qin (m3/s),Stage3 Qin (m3/s),Stage1 Brine (m3/s),Stage2 Brine (m3/s),Stage3 Brine (m3/s),Stage1 Pin (Pa),Stage2 Pin (Pa),Stage3 Pin (Pa),Stage1 Pout (Pa),Stage2 Pout (Pa),Stage3 Pout (Pa),Total Power (W),Stage1 Power (W),Stage2 Power (W),Stage3 Power (W),Stage1 First Elem. Prod. (m3/s),Stage2 First Elem. Prod. (m3/s),Stage3 First Elem. Prod. (m3/s),Stage1 Perm. Conc. (kg/m3),Stage2 Perm. Conc. (kg/m3),Stage3 Perm. Conc. (kg/m3),Stage1 Pump Speed (-),Stage2 Pump Speed (-),Total Perm. Conc. (kg/m3)
8.90E-01,1.45E-01,5.54E-01,5.87E-01,4.03E-01,1.45E-01,6.47E-02,2.67E-02,6.47E-02,2.67E-02,1.60E-02,2.44E+05,7.54E+05,6.74E+05,8.28E+05,1.00E+06,7.63E+05,1.58E+05,1.33E+05,2.16E+04,3.41E+03,1.74E-04,1.99E-04,1.26E-04,1.41E-02,1.82E-02,1.67E-01,8.47E-01,1.00E+00,2.81E-02
8.90E-01,1.51E-01,5.57E-01,5.87E-01,3.98E-01,1.51E-01,6.69E-02,2.76E-02,6.69E-02,2.76E-02,1.66E-02,2.44E+05,7.84E+05,6.99E+05,8.58E+05,1.03E+06,7.72E+05,1.70E+05,1.45E+05,2.19E+04,2.91E+03,1.82E-04,2.05E-04,1.28E-04,1.35E-02,1.78E-02,1.64E-01,8.70E-01,1.00E+00,2.71E-02
8.90E-01,1.57E-01,5.61E-01,5.87E-01,3.93E-01,1.57E-01,6.91E-02,2.86E-02,6.91E-02,2.86E-02,1.73E-02,2.44E+05,8.14E+05,7.24E+05,8.88E+05,1.05E+06,7.81E+05,1.82E+05,1.58E+05,2.21E+04,2.34E+03,1.90E-04,2.11E-04,1.30E-04,1.30E-02,1.74E-02,1.61E-01,8.94E-01,1.00E+00,2.62E-02
8.90E-01,1.64E-01,5.64E-01,5.87E-01,3.89E-01,1.64E-01,7.13E-02,2.95E-02,7.13E-02,2.95E-02,1.80E-02,2.44E+05,8.44E+05,7.48E+05,9.18E+05,1.08E+06,7.89E+05,1.95E+05,1.71E+05,2.23E+04,1.73E+03,1.98E-04,2.17E-04,1.32E-04,1.25E-02,1.71E-02,1.59E-01,9.17E-01,1.00E+00,2.53E-02
8.90E-01,1.70E-01,5.68E-01,5.87E-01,3.84E-01,1.70E-01,7.34E-02,3.04E-02,7.34E-02,3.04E-02,1.87E-02,2.44E+05,8.74E+05,7.73E+05,9.48E+05,1.10E+06,7.97E+05,2.09E+05,1.85E+05,2.26E+04,1.06E+03,2.06E-04,2.23E-04,1.34E-04,1.21E-02,1.67E-02,1.57E-01,9.40E-01,1.00E+00,2.46E-02
8.90E-01,1.76E-01,5.71E-01,5.87E-01,3.80E-01,1.76E-01,7.56E-02,3.12E-02,7.56E-02,3.12E-02,1.94E-02,2.44E+05,9.04E+05,7.97E+05,9.78E+05,1.13E+06,8.05E+05,2.23E+05,2.00E+05,2.28E+04,3.54E+02,2.14E-04,2.29E-04,1.36E-04,1.17E-02,1.64E-02,1.55E-01,9.63E-01,1.00E+00,2.39E-02
8.97E-01,1.45E-01,5.56E-01,5.91E-01,4.32E-01,1.45E-01,6.44E-02,2.63E-02,6.44E-02,2.63E-02,1.49E-02,2.44E+05,7.57E+05,6.77E+05,8.30E+05,1.01E+06,7.96E+05,1.60E+05,1.34E+05,2.15E+04,4.47E+03,1.74E-04,1.99E-04,1.34E-04,1.41E-02,1.84E-02,1.65E-01,8.48E-01,1.00E+00,2.85E-02
8.97E-01,1.51E-01,5.60E-01,5.91E-01,4.28E-01,1.51E-01,6.66E-02,2.72E-02,6.66E-02,2.72E-02,1.56E-02,2.44E+05,7.87E+05,7.02E+05,8.60E+05,1.03E+06,8.06E+05,1.72E+05,1.46E+05,2.18E+04,4.04E+03,1.82E-04,2.06E-04,1.37E-04,1.35E-02,1.80E-02,1.62E-01,8.72E-01,1.00E+00,2.76E-02
8.97E-01,1.57E-01,5.63E-01,5.91E-01,4.23E-01,1.57E-01,6.88E-02,2.81E-02,6.88E-02,2.81E-02,1.62E-02,2.44E+05,8.16E+05,7.27E+05,8.90E+05,1.06E+06,8.16E+05,1.84E+05,1.59E+05,2.21E+04,3.56E+03,1.90E-04,2.12E-04,1.39E-04,1.30E-02,1.76E-02,1.60E-01,8.95E-01,1.00E+00,2.67E-02
8.97E-01,1.64E-01,5.67E-01,5.91E-01,4.19E-01,1.64E-01,7.09E-02,2.90E-02,7.09E-02,2.90E-02,1.69E-02,2.44E+05,8.47E+05,7.52E+05,9.20E+05,1.08E+06,8.25E+05,1.97E+05,1.72E+05,2.23E+04,3.02E+03,1.98E-04,2.18E-04,1.41E-04,1.25E-02,1.72E-02,1.57E-01,9.19E-01,1.00E+00,2.58E-02
