# Feed Flow,Flow (m3/hr),Stage1 Power,SEC (kWh/m3)
9.56E-02,3.44E+02,6.52E+04,1.89E-01
1.08E-01,3.90E+02,6.93E+04,1.78E-01
1.21E-01,4.36E+02,7.38E+04,1.69E-01
1.34E-01,4.82E+02,7.87E+04,1.63E-01
1.47E-01,5.28E+02,8.42E+04,1.59E-01
1.60E-01,5.74E+02,9.02E+04,1.57E-01
1.72E-01,6.20E+02,9.67E+04,1.56E-01
1.85E-01,6.67E+02,1.04E+05,1.56E-01
1.98E-01,7.13E+02,1.12E+05,1.57E-01
2.11E-01,7.59E+02,1.20E+05,1.58E-01
2.24E-01,8.05E+02,1.29E+05,1.60E-01
2.36E-01,8.51E+02,1.39E+05,1.63E-01
2.49E-01,8.97E+02,1.49E+05,1.66E-01
2.62E-01,9.43E+02,1.59E+05,1.69E-01
2.75E-01,9.89E+02,1.70E+05,1.72E-01
