Recovery,Feed Flow,Stage1 RR,Stage2 RR,Stage3 RR,Stage1 Qin (m3/s),Stage2 Qin (m3/s),Stage3 Qin (m3/s),Stage1 Brine (m3/s),Stage2 Brine (m3/s),Stage3 Brine (m3/s),Stage1 Pin (Pa),Stage2 Pin (Pa),Stage3 Pin (Pa),Stage1 Pout (Pa),Stage2 Pout (Pa),Stage3 Pout (Pa),Total Power (W),Stage1 Power (W),Stage2 Power (W),Stage3 Power (W),Stage1 First Elem. Prod. (m3/s),Stage2 First Elem. Prod. (m3/s),Stage3 First Elem. Prod. (m3/s),Stage1 Perm. Conc. (kg/m3),Stage2 Perm. Conc. (kg/m3),Stage3 Perm. Conc. (kg/m3)
8.80E-01,1.45E-01,5.84E-01,5.84E-01,3.07E-01,1.45E-01,6.03E-02,2.51E-02,6.03E-02,2.51E-02,1.74E-02,2.44E+05,7.89E+05,6.33E+05,8.63E+05,9.63E+05,6.57E+05,1.57E+05,1.42E+05,1.40E+04,1.23E+03,1.83E-04,1.86E-04,9.08E-05,1.39E-02,2.09E-02,2.20E-01
8.80E-01,1.51E-01,5.84E-01,5.84E-01,3.05E-01,1.51E-01,6.28E-02,2.61E-02,6.28E-02,2.61E-02,1.81E-02,2.44E+05,8.16E+05,6.61E+05,8.90E+05,9.91E+05,6.66E+05,1.69E+05,1.54E+05,1.47E+04,2.88E+02,1.90E-04,1.93E-04,9.33E-05,1.34E-02,2.02E-02,2.14E-01
8.80E-01,1.57E-01,5.85E-01,5.85E-01,3.03E-01,1.57E-01,6.53E-02,2.71E-02,6.53E-02,2.71E-02,1.89E-02,2.44E+05,8.44E+05,6.89E+05,9.17E+05,1.02E+06,6.75E+05,1.81E+05,1.66E+05,1.54E+04,-7.47E+02,1.98E-04,2.01E-04,9.57E-05,1.29E-02,1.95E-02,2.09E-01
8.80E-01,1.64E-01,5.86E-01,5.86E-01,3.01E-01,1.64E-01,6.78E-02,2.81E-02,6.78E-02,2.81E-02,1.96E-02,2.44E+05,8.71E+05,7.17E+05,9.45E+05,1.05E+06,6.83E+05,1.93E+05,1.79E+05,1.61E+04,-1.88E+03,2.05E-04,2.08E-04,9.80E-05,1.24E-02,1.88E-02,2.04E-01
8.80E-01,1.70E-01,5.86E-01,5.86E-01,2.99E-01,1.70E-01,7.03E-02,2.91E-02,7.03E-02,2.91E-02,2.04E-02,2.44E+05,8.99E+05,7.45E+05,9.73E+05,1.08E+06,6.91E+05,2.06E+05,1.92E+05,1.69E+04,-3.11E+03,2.13E-04,2.15E-04,1.00E-04,1.20E-02,1.82E-02,1.99E-01
8.80E-01,1.76E-01,5.87E-01,5.87E-01,2.96E-01,1.76E-01,7.27E-02,3.00E-02,7.27E-02,3.00E-02,2.11E-02,2.44E+05,9.27E+05,7.73E+05,1.00E+06,1.10E+06,6.99E+05,2.20E+05,2.06E+05,1.77E+04,-4.43E+03,2.20E-04,2.22E-04,1.02E-04,1.16E-02,1.77E-02,1.95E-01
8.89E-01,1.45E-01,5.85E-01,5.85E-01,3.56E-01,1.45E-01,6.02E-02,2.50E-02,6.02E-02,2.50E-02,1.61E-02,2.44E+05,7.90E+05,6.33E+05,8.64E+05,9.63E+05,7.09E+05,1.60E+05,1.42E+05,1.39E+04,3.83E+03,1.83E-04,1.86E-04,1.06E-04,1.39E-02,2.10E-02,2.02E-01
8.89E-01,1.51E-01,5.88E-01,5.88E-01,3.46E-01,1.51E-01,6.23E-02,2.57E-02,6.23E-02,2.57E-02,1.68E-02,2.44E+05,8.20E+05,6.61E+05,8.94E+05,9.91E+05,7.11E+05,1.72E+05,1.55E+05,1.43E+04,2.56E+03,1.91E-04,1.93E-04,1.05E-04,1.34E-02,2.05E-02,2.04E-01
8.89E-01,1.57E-01,5.89E-01,5.89E-01,3.44E-01,1.57E-01,6.48E-02,2.67E-02,6.48E-02,2.67E-02,1.75E-02,2.44E+05,8.48E+05,6.89E+05,9.22E+05,1.02E+06,7.21E+05,1.84E+05,1.67E+05,1.50E+04,1.70E+03,1.99E-04,2.00E-04,1.08E-04,1.29E-02,1.98E-02,1.99E-01
8.89E-01,1.64E-01,5.89E-01,5.89E-01,3.42E-01,1.64E-01,6.72E-02,2.76E-02,6.72E-02,2.76E-02,1.82E-02,2.44E+05,8.76E+05,7.17E+05,9.50E+05,1.05E+06,7.31E+05,1.96E+05,1.80E+05,1.56E+04,7.41E+02,2.06E-04,2.08E-04,1.10E-04,1.24E-02,1.91E-02,1.94E-01
