# Recovery,Feed Flow,Stage1 RR,Stage2 RR,Stage3 RR,Stage1 Qin (m3/s),Stage2 Qin (m3/s),Stage3 Qin (m3/s),Stage1 Brine (m3/s),Stage2 Brine (m3/s),Stage3 Brine (m3/s),Stage1 Pin (Pa),Stage2 Pin (Pa),Stage3 Pin (Pa),Stage1 Pout (Pa),Stage2 Pout (Pa),Stage3 Pout (Pa),Total Power (W),Stage1 Power (W),Stage2 Power (W),Stage3 Power (W),Stage1 First Elem. Prod. (m3/s),Stage2 First Elem. Prod. (m3/s),Stage3 First Elem. Prod. (m3/s),Stage1 Perm. Conc. (kg/m3),Stage2 Perm. Conc. (kg/m3),Stage3 Perm. Conc. (kg/m3),Stage1 Pump Speed (-),Stage2 Pump Speed (-)
8.80E-01,1.45E-01,5.53E-01,5.53E-01,4.00E-01,1.45E-01,6.48E-02,2.90E-02,6.48E-02,2.90E-02,1.74E-02,2.44E+05,7.53E+05,6.27E+05,8.27E+05,9.57E+05,7.68E+05,1.58E+05,1.33E+05,1.77E+04,8.18E+03,1.73E-04,1.87E-04,1.33E-04,1.41E-02,1.84E-02,1.43E-01,8.46E-01,9.26E-01
8.80E-01,1.51E-01,5.53E-01,5.53E-01,4.00E-01,1.51E-01,6.76E-02,3.02E-02,6.76E-02,3.02E-02,1.81E-02,2.44E+05,7.78E+05,6.56E+05,8.52E+05,9.86E+05,7.84E+05,1.70E+05,1.44E+05,1.88E+04,7.77E+03,1.80E-04,1.94E-04,1.37E-04,1.35E-02,1.77E-02,1.37E-01,8.67E-01,9.43E-01
8.80E-01,1.57E-01,5.53E-01,5.53E-01,4.00E-01,1.57E-01,7.04E-02,3.15E-02,7.04E-02,3.15E-02,1.89E-02,2.44E+05,8.04E+05,6.84E+05,8.77E+05,1.01E+06,8.00E+05,1.82E+05,1.55E+05,1.99E+04,7.31E+03,1.87E-04,2.02E-04,1.42E-04,1.30E-02,1.70E-02,1.32E-01,8.88E-01,9.59E-01
8.80E-01,1.64E-01,5.53E-01,5.53E-01,4.00E-01,1.64E-01,7.32E-02,3.27E-02,7.32E-02,3.27E-02,1.96E-02,2.44E+05,8.29E+05,7.13E+05,9.03E+05,1.04E+06,8.16E+05,1.95E+05,1.67E+05,2.11E+04,6.78E+03,1.94E-04,2.09E-04,1.47E-04,1.26E-02,1.64E-02,1.28E-01,9.09E-01,9.76E-01
8.80E-01,1.70E-01,5.53E-01,5.53E-01,4.00E-01,1.70E-01,7.60E-02,3.40E-02,7.60E-02,3.40E-02,2.04E-02,2.44E+05,8.54E+05,7.41E+05,9.28E+05,1.07E+06,8.32E+05,2.08E+05,1.80E+05,2.24E+04,6.18E+03,2.01E-04,2.16E-04,1.52E-04,1.21E-02,1.59E-02,1.24E-01,9.30E-01,9.93E-01
8.80E-01,1.76E-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8.89E-01,1.45E-01,5.70E-01,5.70E-01,4.00E-01,1.45E-01,6.24E-02,2.68E-02,6.24E-02,2.68E-02,1.61E-02,2.44E+05,7.73E+05,6.30E+05,8.47E+05,9.61E+05,7.61E+05,1.60E+05,1.38E+05,1.56E+04,6.99E+03,1.79E-04,1.87E-04,1.25E-04,1.40E-02,1.97E-02,1.66E-01,8.58E-01,8.89E-01
8.89E-01,1.51E-01,5.70E-01,5.70E-01,4.00E-01,1.51E-01,6.50E-02,2.80E-02,6.50E-02,2.80E-02,1.68E-02,2.44E+05,7.99E+05,6.59E+05,8.73E+05,9.89E+05,7.76E+05,1.72E+05,1.49E+05,1.65E+04,6.55E+03,1.86E-04,1.94E-04,1.30E-04,1.34E-02,1.89E-02,1.59E-01,8.79E-01,9.04E-01
8.89E-01,1.57E-01,5.70E-01,5.70E-01,4.00E-01,1.57E-01,6.77E-02,2.91E-02,6.77E-02,2.91E-02,1.75E-02,2.44E+05,8.25E+05,6.87E+05,8.99E+05,1.02E+06,7.91E+05,1.84E+05,1.61E+05,1.75E+04,6.05E+03,1.93E-04,2.01E-04,1.34E-04,1.29E-02,1.82E-02,1.54E-01,9.00E-01,9.18E-01
8.89E-01,1.64E-01,5.70E-01,5.70E-01,4.00E-01,1.64E-01,7.04E-02,3.03E-02,7.04E-02,3.03E-02,1.82E-02,2.44E+05,8.51E+05,7.15E+05,9.25E+05,1.05E+06,8.06E+05,1.97E+05,1.73E+05,1.85E+04,5.48E+03,2.00E-04,2.08E-04,1.39E-04,1.25E-02,1.76E-02,1.48E-01,9.21E-01,9.33E-01
8.89E-01,1.70E-01,5.70E-01,5.70E-01,4.00E-01,1.70E-01,7.31E-02,3.14E-02,7.31E-02,3.14E-02,1.89E-02,2.44E+05,8.77E+05,7.43E+05,9.51E+05,1.07E+06,8.20E+05,2.10E+05,1.86E+05,1.95E+04,4.84E+03,2.07E-04,2.16E-04,1.43E-04,1.21E-02,1.70E-02,1.44E-01,9.42E-01,9.49E-01
8.89E-01,1.76E-01,5.70E-01,5.70E-01,4.00E-01,1.76E-01,7.57E-02,3.26E-02,7.57E-02,3.26E-02,1.95E-02,2.44E+05,9.03E+05,7.72E+05,9.77E+05,1.10E+06,8.35E+05,2.24E+05,1.99E+05,2.06E+04,4.15E+03,2.14E-04,2.23E-04,1.48E-04,1.17E-02,1.64E-02,1.39E-01,9.62E-01,9.65E-01
8.98E-01,1.45E-01,5.85E-01,5.85E-01,4.08E-01,1.45E-01,6.02E-02,2.50E-02,6.02E-02,2.50E-02,1.48E-02,2.44E+05,7.90E+05,6.33E+05,8.64E+05,9.63E+05,7.66E+05,1.63E+05,1.42E+05,1.39E+04,6.67E+03,1.83E-04,1.86E-04,1.22E-04,1.39E-02,2.10E-02,1.88E-01,8.68E-01,8.55E-01
8.98E-01,1.51E-01,5.88E-01,5.88E-01,4.00E-01,1.51E-01,6.24E-02,2.57E-02,6.24E-02,2.57E-02,1.54E-02,2.44E+05,8.20E+05,6.61E+05,8.94E+05,9.91E+05,7.70E+05,1.75E+05,1.55E+05,1.43E+04,5.62E+03,1.91E-04,1.93E-04,1.22E-04,1.34E-02,2.04E-02,1.88E-01,8.92E-01,8.60E-01
8.98E-01,1.57E-01,5.88E-01,5.88E-01,4.00E-01,1.57E-01,6.49E-02,2.68E-02,6.49E-02,2.68E-02,1.61E-02,2.44E+05,8.47E+05,6.89E+05,9.21E+05,1.02E+06,7.84E+05,1.87E+05,1.67E+05,1.51E+04,5.10E+03,1.99E-04,2.00E-04,1.26E-04,1.29E-02,1.97E-02,1.81E-01,9.13E-01,8.73E-01
8.98E-01,1.64E-01,5.88E-01,5.88E-01,4.00E-01,1.64E-01,6.75E-02,2.78E-02,6.75E-02,2.78E-02,1.67E-02,2.44E+05,8.74E+05,7.17E+05,9.48E+05,1.05E+06,7.98E+05,2.00E+05,1.80E+05,1.59E+04,4.52E+03,2.06E-04,2.08E-04,1.31E-04,1.24E-02,1.90E-02,1.75E-01,9.34E-01,8.86E-01
8.98E-01,1.70E-01,5.88E-01,5.88E-01,4.00E-01,1.70E-01,7.00E-02,2.89E-02,7.00E-02,2.89E-02,1.73E-02,2.44E+05,9.01E+05,7.45E+05,9.74E+05,1.08E+06,8.12E+05,2.13E+05,1.93E+05,1.67E+04,3.88E+03,2.13E-04,2.15E-04,1.35E-04,1.20E-02,1.83E-02,1.69E-01,9.55E-01,8.99E-01
8.98E-01,1.76E-01,5.88E-01,5.88E-01,4.00E-01,1.76E-01,7.26E-02,2.99E-02,7.26E-02,2.99E-02,1.80E-02,2.44E+05,9.28E+05,7.73E+05,1.00E+06,1.10E+06,8.26E+05,2.27E+05,2.07E+05,1.76E+04,3.18E+03,2.20E-04,2.22E-04,1.39E-04,1.16E-02,1.77E-02,1.64E-01,9.75E-01,9.13E-01
9.07E-01,1.45E-01,5.85E-01,5.85E-01,4.61E-01,1.45E-01,6.02E-02,2.50E-02,6.02E-02,2.50E-02,1.35E-02,2.44E+05,7.90E+05,6.33E+05,8.64E+05,9.63E+05,8.25E+05,1.66E+05,1.42E+05,1.39E+04,9.61E+03,1.83E-04,1.86E-04,1.39E-04,1.39E-02,2.10E-02,1.77E-01,8.68E-01,8.55E-01
9.07E-01,1.51E-01,5.93E-01,5.93E-01,4.37E-01,1.51E-01,6.15E-02,2.50E-02,6.15E-02,2.50E-02,1.41E-02,2.44E+05,8.27E+05,6.62E+05,9.01E+05,9.92E+05,8.12E+05,1.78E+05,1.57E+05,1.36E+04,7.51E+03,1.93E-04,1.93E-04,1.32E-04,1.33E-02,2.10E-02,1.89E-01,8.96E-01,8.46E-01
9.07E-01,1.57E-01,5.96E-01,5.96E-01,4.30E-01,1.57E-01,6.36E-02,2.57E-02,6.36E-02,2.57E-02,1.46E-02,2.44E+05,8.58E+05,6.90E+05,9.31E+05,1.02E+06,8.17E+05,1.90E+05,1.70E+05,1.39E+04,6.53E+03,2.01E-04,2.00E-04,1.33E-04,1.28E-02,2.05E-02,1.89E-01,9.19E-01,8.50E-01
9.07E-01,1.64E-01,5.97E-01,5.97E-01,4.28E-01,1.64E-01,6.60E-02,2.66E-02,6.60E-02,2.66E-02,1.52E-02,2.44E+05,8.86E+05,7.18E+05,9.59E+05,1.05E+06,8.29E+05,2.03E+05,1.83E+05,1.45E+04,5.93E+03,2.09E-04,2.07E-04,1.36E-04,1.24E-02,1.98E-02,1.84E-01,9.40E-01,8.60E-01
9.07E-01,1.70E-01,5.98E-01,5.98E-01,4.26E-01,1.70E-01,6.84E-02,2.75E-02,6.84E-02,2.75E-02,1.58E-02,2.44E+05,9.14E+05,7.46E+05,9.88E+05,1.08E+06,8.41E+05,2.17E+05,1.97E+05,1.52E+04,5.24E+03,2.17E-04,2.14E-04,1.39E-04,1.20E-02,1.92E-02,1.80E-01,9.62E-01,8.70E-01
9.07E-01,1.76E-01,5.98E-01,5.98E-01,4.24E-01,1.76E-01,7.08E-02,2.84E-02,7.08E-02,2.84E-02,1.64E-02,2.44E+05,9.42E+05,7.73E+05,1.02E+06,1.10E+06,8.52E+05,2.31E+05,2.11E+05,1.58E+04,4.47E+03,2.24E-04,2.21E-04,1.42E-04,1.16E-02,1.86E-02,1.76E-01,9.83E-01,8.81E-01
9.16E-01,1.45E-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9.16E-01,1.51E-01,5.93E-01,5.93E-01,4.92E-01,1.51E-01,6.15E-02,2.50E-02,6.15E-02,2.50E-02,1.27E-02,2.44E+05,8.27E+05,6.62E+05,9.01E+05,9.92E+05,8.76E+05,1.81E+05,1.57E+05,1.36E+04,1.07E+04,1.93E-04,1.93E-04,1.51E-04,1.33E-02,2.10E-02,1.81E-01,8.96E-01,8.46E-01
9.16E-01,1.57E-01,6.00E-01,6.00E-01,4.74E-01,1.57E-01,6.29E-02,2.51E-02,6.29E-02,2.51E-02,1.32E-02,2.44E+05,8.63E+05,6.90E+05,9.36E+05,1.02E+06,8.69E+05,1.94E+05,1.71E+05,1.34E+04,8.99E+03,2.03E-04,2.00E-04,1.46E-04,1.28E-02,2.09E-02,1.89E-01,9.22E-01,8.39E-01
