Recovery,Feed Flow,Stage1 RR,Stage2 RR,Stage3 RR,Stage1 Qin (m3/s),Stage2 Qin (m3/s),Stage3 Qin (m3/s),Stage1 Brine (m3/s),Stage2 Brine (m3/s),Stage3 Brine (m3/s),Stage1 Pin (Pa),Stage2 Pin (Pa),Stage3 Pin (Pa),Stage1 Pout (Pa),Stage2 Pout (Pa),Stage3 Pout (Pa),Total Power (W),Stage1 Power (W),Stage2 Power (W),Stage3 Power (W),Stage1 First Elem. Prod. (m3/s),Stage2 First Elem. Prod. (m3/s),Stage3 First Elem. Prod. (m3/s),Stage1 Perm. Conc. (kg/m3),Stage2 Perm. Conc. (kg/m3),Stage3 Perm. Conc. (kg/m3),Stage1 Pump Speed (-),Stage2 Pump Speed (-)
8.80E-01,1.45E-01,5.63E-01,6.05E-01,3.04E-01,1.45E-01,6.34E-02,2.50E-02,6.34E-02,2.50E-02,1.74E-02,2.44E+05,7.65E+05,6.87E+05,8.39E+05,1.02E+06,6.54E+05,1.55E+05,1.36E+05,2.14E+04,-1.65E+03,1.76E-04,2.02E-04,8.97E-05,1.40E-02,1.89E-02,2.24E-01,8.53E-01,1.00E+00
8.80E-01,1.51E-01,5.71E-01,6.14E-01,2.74E-01,1.51E-01,6.48E-02,2.50E-02,6.48E-02,2.50E-02,1.81E-02,2.44E+05,8.00E+05,7.20E+05,8.74E+05,1.05E+06,6.34E+05,1.67E+05,1.49E+05,2.16E+04,-4.29E+03,1.86E-04,2.09E-04,8.12E-05,1.34E-02,1.89E-02,2.50E-01,8.80E-01,1.00E+00
8.80E-01,1.57E-01,5.78E-01,6.22E-01,2.47E-01,1.57E-01,6.64E-02,2.51E-02,6.64E-02,2.51E-02,1.89E-02,2.44E+05,8.35E+05,7.52E+05,9.09E+05,1.08E+06,6.16E+05,1.79E+05,1.64E+05,2.18E+04,-6.82E+03,1.95E-04,2.17E-04,7.35E-05,1.29E-02,1.88E-02,2.79E-01,9.06E-01,1.00E+00
8.80E-01,1.64E-01,5.81E-01,6.22E-01,2.42E-01,1.64E-01,6.85E-02,2.59E-02,6.85E-02,2.59E-02,1.96E-02,2.44E+05,8.66E+05,7.77E+05,9.39E+05,1.11E+06,6.20E+05,1.91E+05,1.77E+05,2.20E+04,-8.14E+03,2.04E-04,2.23E-04,7.43E-05,1.24E-02,1.84E-02,2.76E-01,9.29E-01,1.00E+00
8.80E-01,1.70E-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8.80E-01,1.76E-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8.89E-01,1.45E-01,5.63E-01,6.05E-01,3.56E-01,1.45E-01,6.34E-02,2.50E-02,6.34E-02,2.50E-02,1.61E-02,2.44E+05,7.65E+05,6.87E+05,8.39E+05,1.02E+06,7.10E+05,1.58E+05,1.36E+05,2.14E+04,1.11E+03,1.76E-04,2.02E-04,1.06E-04,1.40E-02,1.89E-02,2.03E-01,8.53E-01,1.00E+00
8.89E-01,1.51E-01,5.71E-01,6.14E-01,3.29E-01,1.51E-01,6.48E-02,2.50E-02,6.48E-02,2.50E-02,1.68E-02,2.44E+05,8.00E+05,7.20E+05,8.74E+05,1.05E+06,6.92E+05,1.70E+05,1.49E+05,2.16E+04,-1.40E+03,1.86E-04,2.09E-04,9.76E-05,1.34E-02,1.89E-02,2.22E-01,8.80E-01,1.00E+00
8.89E-01,1.57E-01,5.79E-01,6.23E-01,3.01E-01,1.57E-01,6.63E-02,2.50E-02,6.63E-02,2.50E-02,1.75E-02,2.44E+05,8.36E+05,7.52E+05,9.10E+05,1.08E+06,6.74E+05,1.82E+05,1.64E+05,2.18E+04,-3.92E+03,1.96E-04,2.17E-04,8.96E-05,1.29E-02,1.88E-02,2.45E-01,9.07E-01,1.00E+00
8.89E-01,1.64E-01,5.83E-01,6.26E-01,2.88E-01,1.64E-01,6.82E-02,2.55E-02,6.82E-02,2.55E-02,1.82E-02,2.44E+05,8.68E+05,7.80E+05,9.42E+05,1.11E+06,6.70E+05,1.94E+05,1.78E+05,2.20E+04,-5.61E+03,2.04E-04,2.24E-04,8.74E-05,1.24E-02,1.85E-02,2.52E-01,9.31E-01,1.00E+00
8.89E-01,1.70E-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8.89E-01,1.76E-01,5.89E-01,6.25E-01,2.80E-01,1.76E-01,7.24E-02,2.72E-02,7.24E-02,2.72E-02,1.95E-02,2.44E+05,9.29E+05,8.30E+05,1.00E+06,1.16E+06,6.81E+05,2.21E+05,2.07E+05,2.25E+04,-8.14E+03,2.21E-04,2.37E-04,8.96E-05,1.16E-02,1.78E-02,2.46E-01,9.76E-01,1.00E+00
8.98E-01,1.45E-01,5.63E-01,6.05E-01,4.08E-01,1.45E-01,6.34E-02,2.50E-02,6.34E-02,2.50E-02,1.48E-02,2.44E+05,7.65E+05,6.87E+05,8.39E+05,1.02E+06,7.66E+05,1.61E+05,1.36E+05,2.14E+04,3.95E+03,1.76E-04,2.02E-04,1.22E-04,1.40E-02,1.89E-02,1.88E-01,8.53E-01,1.00E+00
8.98E-01,1.51E-01,5.71E-01,6.14E-01,3.83E-01,1.51E-01,6.48E-02,2.50E-02,6.48E-02,2.50E-02,1.54E-02,2.44E+05,8.00E+05,7.20E+05,8.74E+05,1.05E+06,7.51E+05,1.73E+05,1.49E+05,2.16E+04,1.56E+03,1.86E-04,2.09E-04,1.15E-04,1.34E-02,1.89E-02,2.03E-01,8.80E-01,1.00E+00
8.98E-01,1.57E-01,5.79E-01,6.23E-01,3.58E-01,1.57E-01,6.63E-02,2.50E-02,6.63E-02,2.50E-02,1.61E-02,2.44E+05,8.36E+05,7.52E+05,9.10E+05,1.08E+06,7.35E+05,1.85E+05,1.64E+05,2.18E+04,-8.42E+02,1.96E-04,2.17E-04,1.07E-04,1.29E-02,1.88E-02,2.20E-01,9.07E-01,1.00E+00
8.98E-01,1.64E-01,5.86E-01,6.31E-01,3.33E-01,1.64E-01,6.78E-02,2.50E-02,6.78E-02,2.50E-02,1.67E-02,2.44E+05,8.71E+05,7.84E+05,9.45E+05,1.11E+06,7.20E+05,1.98E+05,1.79E+05,2.20E+04,-3.22E+03,2.05E-04,2.25E-04,9.99E-05,1.24E-02,1.87E-02,2.39E-01,9.32E-01,1.00E+00
