# Recovery,Feed Flow,Stage1 RR,Stage2 RR,Stage3 RR,Stage1 Qin (m3/s),Stage2 Qin (m3/s),Stage3 Qin (m3/s),Stage1 Brine (m3/s),Stage2 Brine (m3/s),Stage3 Brine (m3/s),Stage1 Pin (Pa),Stage2 Pin (Pa),Stage3 Pin (Pa),Stage1 Pout (Pa),Stage2 Pout (Pa),Stage3 Pout (Pa),Total Power (W),Stage1 Power (W),Stage2 Power (W),Stage3 Power (W),Stage1 First Elem. Prod. (m3/s),Stage2 First Elem. Prod. (m3/s),Stage3 First Elem. Prod. (m3/s),Stage1 Perm. Conc. (kg/m3),Stage2 Perm. Conc. (kg/m3),Stage3 Perm. Conc. (kg/m3),Stage1 Pump Speed (-),Stage2 Pump Speed (-)
8.80E-01,1.45E-01,5.41E-01,5.64E-01,4.00E-01,1.45E-01,6.65E-02,2.90E-02,6.65E-02,2.90E-02,1.74E-02,2.44E+05,7.40E+05,6.56E+05,8.14E+05,9.86E+05,7.68E+05,1.58E+05,1.29E+05,2.18E+04,6.50E+03,1.70E-04,1.95E-04,1.33E-04,1.42E-02,1.74E-02,1.43E-01,8.38E-01,1.00E+00
8.80E-01,1.51E-01,6.03E-01,4.85E-01,4.12E-01,1.51E-01,6.00E-02,3.09E-02,6.00E-02,3.09E-02,1.81E-02,2.44E+05,8.39E+05,5.08E+05,9.13E+05,8.39E+05,8.02E+05,1.78E+05,1.60E+05,4.13E-08,1.81E+04,1.96E-04,1.53E-04,1.44E-04,1.33E-02,2.33E-02,1.30E-01,9.02E-01,5.07E-01
8.80E-01,1.57E-01,5.47E-01,5.59E-01,4.00E-01,1.57E-01,7.14E-02,3.15E-02,7.14E-02,3.15E-02,1.89E-02,2.44E+05,7.96E+05,7.01E+05,8.70E+05,1.03E+06,8.00E+05,1.82E+05,1.53E+05,2.24E+04,6.27E+03,1.85E-04,2.06E-04,1.42E-04,1.31E-02,1.65E-02,1.32E-01,8.84E-01,1.00E+00
8.80E-01,1.64E-01,6.04E-01,4.95E-01,4.00E-01,1.64E-01,6.48E-02,3.27E-02,6.48E-02,3.27E-02,1.96E-02,2.44E+05,8.95E+05,5.65E+05,9.69E+05,8.95E+05,8.16E+05,2.02E+05,1.86E+05,1.84E-08,1.64E+04,2.12E-04,1.68E-04,1.47E-04,1.24E-02,2.16E-02,1.28E-01,9.45E-01,5.47E-01
8.80E-01,1.70E-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8.80E-01,1.76E-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8.89E-01,1.45E-01,5.53E-01,5.86E-01,4.00E-01,1.45E-01,6.48E-02,2.68E-02,6.48E-02,2.68E-02,1.61E-02,2.44E+05,7.53E+05,6.73E+05,8.27E+05,1.00E+06,7.61E+05,1.59E+05,1.33E+05,2.16E+04,4.71E+03,1.73E-04,1.98E-04,1.25E-04,1.41E-02,1.82E-02,1.66E-01,8.46E-01,1.00E+00
8.89E-01,1.51E-01,6.03E-01,4.85E-01,4.56E-01,1.51E-01,6.00E-02,3.09E-02,6.00E-02,3.09E-02,1.68E-02,2.44E+05,8.39E+05,5.08E+05,9.13E+05,8.39E+05,8.57E+05,1.81E+05,1.60E+05,4.65E-08,2.15E+04,1.96E-04,1.53E-04,1.60E-04,1.33E-02,2.33E-02,1.23E-01,9.02E-01,5.07E-01
8.89E-01,1.57E-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8.89E-01,1.64E-01,5.61E-01,5.79E-01,4.00E-01,1.64E-01,7.19E-02,3.03E-02,7.19E-02,3.03E-02,1.82E-02,2.44E+05,8.39E+05,7.42E+05,9.13E+05,1.07E+06,8.06E+05,1.96E+05,1.70E+05,2.24E+04,3.87E+03,1.96E-04,2.16E-04,1.39E-04,1.25E-02,1.68E-02,1.49E-01,9.15E-01,1.00E+00
8.89E-01,1.70E-01,5.63E-01,5.77E-01,4.00E-01,1.70E-01,7.43E-02,3.14E-02,7.43E-02,3.14E-02,1.89E-02,2.44E+05,8.68E+05,7.64E+05,9.42E+05,1.09E+06,8.21E+05,2.10E+05,1.83E+05,2.26E+04,3.55E+03,2.04E-04,2.21E-04,1.43E-04,1.21E-02,1.64E-02,1.44E-01,9.37E-01,1.00E+00
8.89E-01,1.76E-01,6.14E-01,5.20E-01,4.00E-01,1.76E-01,6.79E-02,3.26E-02,6.79E-02,3.26E-02,1.95E-02,2.44E+05,9.65E+05,6.34E+05,1.04E+06,9.65E+05,8.35E+05,2.31E+05,2.18E+05,1.79E-08,1.31E+04,2.30E-04,1.85E-04,1.48E-04,1.15E-02,2.08E-02,1.39E-01,9.94E-01,5.74E-01
8.98E-01,1.45E-01,5.63E-01,6.05E-01,4.08E-01,1.45E-01,6.34E-02,2.50E-02,6.34E-02,2.50E-02,1.48E-02,2.44E+05,7.65E+05,6.87E+05,8.39E+05,1.02E+06,7.66E+05,1.61E+05,1.36E+05,2.14E+04,3.95E+03,1.76E-04,2.02E-04,1.22E-04,1.40E-02,1.89E-02,1.88E-01,8.53E-01,1.00E+00
8.98E-01,1.51E-01,6.03E-01,4.85E-01,5.01E-01,1.51E-01,6.00E-02,3.09E-02,6.00E-02,3.09E-02,1.54E-02,2.44E+05,8.39E+05,5.08E+05,9.13E+05,8.39E+05,9.13E+05,1.85E+05,1.60E+05,5.36E-08,2.50E+04,1.96E-04,1.53E-04,1.77E-04,1.33E-02,2.33E-02,1.19E-01,9.02E-01,5.07E-01
8.98E-01,1.57E-01,5.70E-01,6.05E-01,4.00E-01,1.57E-01,6.77E-02,2.68E-02,6.77E-02,2.68E-02,1.61E-02,2.44E+05,8.25E+05,7.38E+05,8.99E+05,1.07E+06,7.85E+05,1.85E+05,1.61E+05,2.19E+04,2.50E+03,1.93E-04,2.14E-04,1.26E-04,1.29E-02,1.81E-02,1.81E-01,9.00E-01,1.00E+00
8.98E-01,1.64E-01,6.30E-01,5.41E-01,4.00E-01,1.64E-01,6.06E-02,2.78E-02,6.06E-02,2.78E-02,1.67E-02,2.44E+05,9.28E+05,5.98E+05,1.00E+06,9.28E+05,7.98E+05,2.06E+05,1.95E+05,1.94E-08,1.11E+04,2.20E-04,1.74E-04,1.31E-04,1.23E-02,2.38E-02,1.75E-01,9.63E-01,5.12E-01
8.98E-01,1.70E-01,5.74E-01,6.01E-01,4.00E-01,1.70E-01,7.23E-02,2.89E-02,7.23E-02,2.89E-02,1.73E-02,2.44E+05,8.83E+05,7.85E+05,9.57E+05,1.11E+06,8.12E+05,2.12E+05,1.88E+05,2.25E+04,1.60E+03,2.08E-04,2.26E-04,1.35E-04,1.20E-02,1.72E-02,1.69E-01,9.45E-01,1.00E+00
8.98E-01,1.76E-01,6.22E-01,5.35E-01,4.19E-01,1.76E-01,6.65E-02,3.09E-02,6.65E-02,3.09E-02,1.80E-02,2.44E+05,9.76E+05,6.45E+05,1.05E+06,9.76E+05,8.53E+05,2.34E+05,2.21E+05,2.45E-08,1.29E+04,2.33E-04,1.87E-04,1.49E-04,1.15E-02,2.15E-02,1.50E-01,1.00E+00,5.62E-01
9.07E-01,1.45E-01,5.63E-01,6.05E-01,4.61E-01,1.45E-01,6.34E-02,2.50E-02,6.34E-02,2.50E-02,1.35E-02,2.44E+05,7.65E+05,6.87E+05,8.39E+05,1.02E+06,8.25E+05,1.64E+05,1.36E+05,2.14E+04,6.89E+03,1.76E-04,2.02E-04,1.39E-04,1.40E-02,1.89E-02,1.77E-01,8.53E-01,1.00E+00
9.07E-01,1.51E-01,6.03E-01,4.85E-01,5.45E-01,1.51E-01,6.00E-02,3.09E-02,6.00E-02,3.09E-02,1.41E-02,2.44E+05,8.39E+05,5.08E+05,9.13E+05,8.39E+05,9.72E+05,1.88E+05,1.60E+05,6.36E-08,2.86E+04,1.96E-04,1.53E-04,1.94E-04,1.33E-02,2.33E-02,1.16E-01,9.02E-01,5.07E-01
9.07E-01,1.57E-01,5.79E-01,6.23E-01,4.14E-01,1.57E-01,6.63E-02,2.50E-02,6.63E-02,2.50E-02,1.46E-02,2.44E+05,8.36E+05,7.52E+05,9.10E+05,1.08E+06,7.99E+05,1.88E+05,1.64E+05,2.18E+04,2.33E+03,1.96E-04,2.17E-04,1.25E-04,1.29E-02,1.88E-02,2.03E-01,9.07E-01,1.00E+00
9.07E-01,1.64E-01,6.33E-01,5.48E-01,4.38E-01,1.64E-01,6.00E-02,2.71E-02,6.00E-02,2.71E-02,1.52E-02,2.44E+05,9.33E+05,6.03E+05,1.01E+06,9.33E+05,8.43E+05,2.10E+05,1.97E+05,2.35E-08,1.30E+04,2.22E-04,1.75E-04,1.41E-04,1.23E-02,2.42E-02,1.75E-01,9.66E-01,5.07E-01
9.07E-01,1.70E-01,5.86E-01,6.25E-01,4.00E-01,1.70E-01,7.03E-02,2.63E-02,7.03E-02,2.63E-02,1.58E-02,2.44E+05,8.99E+05,8.05E+05,9.72E+05,1.14E+06,8.08E+05,2.15E+05,1.92E+05,2.22E+04,1.52E+02,2.13E-04,2.30E-04,1.26E-04,1.20E-02,1.81E-02,2.02E-01,9.53E-01,1.00E+00
9.07E-01,1.76E-01,6.22E-01,5.35E-01,4.70E-01,1.76E-01,6.65E-02,3.09E-02,6.65E-02,3.09E-02,1.64E-02,2.44E+05,9.76E+05,6.45E+05,1.05E+06,9.76E+05,9.21E+05,2.38E+05,2.21E+05,2.64E-08,1.70E+04,2.33E-04,1.87E-04,1.69E-04,1.15E-02,2.15E-02,1.42E-01,1.00E+00,5.62E-01
9.16E-01,1.45E-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9.16E-01,1.51E-01,6.03E-01,4.85E-01,5.89E-01,1.51E-01,6.00E-02,3.09E-02,6.00E-02,3.09E-02,1.27E-02,2.44E+05,8.39E+05,5.08E+05,9.13E+05,8.39E+05,1.03E+06,1.92E+05,1.60E+05,7.90E-08,3.24E+04,1.96E-04,1.53E-04,2.13E-04,1.33E-02,2.33E-02,1.15E-01,9.02E-01,5.07E-01
9.16E-01,1.57E-01,5.79E-01,6.23E-01,4.71E-01,1.57E-01,6.63E-02,2.50E-02,6.63E-02,2.50E-02,1.32E-02,2.44E+05,8.36E+05,7.52E+05,9.10E+05,1.08E+06,8.65E+05,1.91E+05,1.64E+05,2.18E+04,5.65E+03,1.96E-04,2.17E-04,1.44E-04,1.29E-02,1.88E-02,1.91E-01,9.07E-01,1.00E+00
9.16E-01,1.64E-01,6.33E-01,5.48E-01,4.93E-01,1.64E-01,6.00E-02,2.71E-02,6.00E-02,2.71E-02,1.37E-02,2.44E+05,9.33E+05,6.03E+05,1.01E+06,9.33E+05,9.10E+05,2.13E+05,1.97E+05,2.53E-08,1.66E+04,2.22E-04,1.75E-04,1.61E-04,1.23E-02,2.42E-02,1.67E-01,9.66E-01,5.07E-01
9.16E-01,1.70E-01,6.45E-01,5.75E-01,4.42E-01,1.70E-01,6.02E-02,2.56E-02,6.02E-02,2.56E-02,1.43E-02,2.44E+05,9.78E+05,6.48E+05,1.05E+06,9.78E+05,8.58E+05,2.26E+05,2.16E+05,1.97E-08,1.07E+04,2.34E-04,1.85E-04,1.38E-04,1.19E-02,2.47E-02,2.03E-01,9.95E-01,5.09E-01
9.16E-01,1.76E-01,5.97E-01,6.43E-01,4.17E-01,1.76E-01,7.10E-02,2.54E-02,7.10E-02,2.54E-02,1.48E-02,2.44E+05,9.40E+05,8.45E+05,1.01E+06,1.18E+06,8.41E+05,2.32E+05,2.10E+05,2.23E+04,-2.00E+02,2.24E-04,2.40E-04,1.30E-04,1.16E-02,1.85E-02,2.20E-01,9.82E-01,1.00E+00
9.25E-01,1.45E-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9.25E-01,1.51E-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9.25E-01,1.57E-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9.25E-01,1.64E-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
