# Recovery,Feed Flow,Stage1 RR,Stage2 RR,Stage3 RR,Stage1 Qin (m3/s),Stage2 Qin (m3/s),Stage3 Qin (m3/s),Stage1 Brine (m3/s),Stage2 Brine (m3/s),Stage3 Brine (m3/s),Stage1 Pin (Pa),Stage2 Pin (Pa),Stage3 Pin (Pa),Stage1 Pout (Pa),Stage2 Pout (Pa),Stage3 Pout (Pa),Total Power (W),Stage1 Power (W),Stage2 Power (W),Stage3 Power (W),Stage1 First Elem. Prod. (m3/s),Stage2 First Elem. Prod. (m3/s),Stage3 First Elem. Prod. (m3/s),Stage1 Perm. Conc. (kg/m3),Stage2 Perm. Conc. (kg/m3),Stage3 Perm. Conc. (kg/m3),Stage1 Pump Speed (-),Stage2 Pump Speed (-)
8.800000e-01,1.450000e-01,5.508229e-01,5.817919e-01,3.611899e-01,1.450000e-01,6.513070e-02,2.723822e-02,6.513070e-02,2.723822e-02,1.740008e-02,2.440744e+05,7.509181e+05,6.696486e+05,8.246921e+05,9.999074e+05,7.182780e+05,1.555499e+05,1.320267e+05,2.163091e+04,1.892257e+03,1.726392e-04,1.977884e-04,1.138768e-04,1.410356e-02,1.802065e-02,1.704346e-01,8.446948e-01,1.000000e+00
8.800000e-01,1.512222e-01,5.545718e-01,5.814392e-01,3.563562e-01,1.512222e-01,6.735866e-02,2.819373e-02,6.735866e-02,2.819373e-02,1.814675e-02,2.440744e+05,7.805598e+05,6.944262e+05,8.543337e+05,1.024685e+06,7.260645e+05,1.673229e+05,1.441443e+05,2.190433e+04,1.274289e+03,1.806546e-04,2.039691e-04,1.157516e-04,1.353444e-02,1.761666e-02,1.678519e-01,8.684654e-01,1.000000e+00
8.800000e-01,1.574444e-01,5.581586e-01,5.811649e-01,3.515562e-01,1.574444e-01,6.956549e-02,2.913651e-02,6.956549e-02,2.913651e-02,1.889343e-02,2.440744e+05,8.103440e+05,7.190256e+05,8.841179e+05,1.049284e+06,7.334058e+05,1.796224e+05,1.568635e+05,2.216030e+04,5.985536e+02,1.887096e-04,2.101098e-04,1.174987e-04,1.301158e-02,1.723879e-02,1.655412e-01,8.919756e-01,1.000000e+00
8.800000e-01,1.636667e-01,5.612031e-01,5.801438e-01,3.486450e-01,1.636667e-01,7.181644e-02,3.015262e-02,7.181644e-02,3.015262e-02,1.964010e-02,2.440744e+05,8.397612e+05,7.427620e+05,9.135351e+05,1.073021e+06,7.427620e+05,1.924614e+05,1.700580e+05,2.240346e+04,3.895365e-07,1.966669e-04,2.160607e-04,1.200288e-04,1.253170e-02,1.685898e-02,1.620539e-01,9.149681e-01,1.000000e+00
8.800000e-01,1.698889e-01,5.623893e-01,5.755461e-01,3.539540e-01,1.698889e-01,7.434521e-02,3.155616e-02,7.434521e-02,3.155616e-02,2.038677e-02,2.440744e+05,8.669874e+05,7.631134e+05,9.407613e+05,1.093372e+06,7.631134e+05,2.058707e+05,1.832196e+05,2.265107e+04,6.100719e-08,2.040356e-04,2.212651e-04,1.266402e-04,1.209637e-02,1.639333e-02,1.528201e-01,9.365050e-01,1.000000e+00
8.800000e-01,1.761111e-01,5.636421e-01,5.712069e-01,3.586558e-01,1.761111e-01,7.684750e-02,3.295172e-02,7.684750e-02,3.295172e-02,2.113344e-02,2.440744e+05,8.944108e+05,7.832002e+05,9.681847e+05,1.113459e+06,7.832002e+05,2.198719e+05,1.970073e+05,2.286457e+04,3.459176e-08,2.114580e-04,2.263963e-04,1.331372e-04,1.169104e-02,1.596604e-02,1.446963e-01,9.579627e-01,1.000000e+00
8.890000e-01,1.450000e-01,5.534431e-01,5.868091e-01,3.984162e-01,1.450000e-01,6.475076e-02,2.675446e-02,6.475076e-02,2.675446e-02,1.609509e-02,2.440744e+05,7.539113e+05,6.734366e+05,8.276852e+05,1.003695e+06,7.587658e+05,1.576366e+05,1.327921e+05,2.158307e+04,3.261341e+03,1.734440e-04,1.985933e-04,1.244696e-04,1.408556e-02,1.820248e-02,1.669023e-01,8.465160e-01,1.000000e+00
8.890000e-01,1.512222e-01,5.571683e-01,5.865223e-01,3.937763e-01,1.512222e-01,6.696601e-02,2.768899e-02,6.696601e-02,2.768899e-02,1.678576e-02,2.440744e+05,7.836473e+05,6.983989e+05,8.574212e+05,1.028658e+06,7.677376e+05,1.695548e+05,1.449548e+05,2.185730e+04,2.742741e+03,1.814849e-04,2.048197e-04,1.266839e-04,1.351816e-02,1.779385e-02,1.641302e-01,8.702856e-01,1.000000e+00
8.890000e-01,1.574444e-01,5.607319e-01,5.863135e-01,3.891668e-01,1.574444e-01,6.916034e-02,2.861074e-02,6.916034e-02,2.861074e-02,1.747643e-02,2.440744e+05,8.135244e+05,7.231873e+05,8.872983e+05,1.053446e+06,7.762615e+05,1.820033e+05,1.577194e+05,2.211465e+04,2.169273e+03,1.895651e-04,2.110072e-04,1.287693e-04,1.299685e-02,1.741168e-02,1.616283e-01,8.937939e-01,1.000000e+00
8.890000e-01,1.636667e-01,5.641470e-01,5.861597e-01,3.846093e-01,1.636667e-01,7.133462e-02,2.952118e-02,7.133462e-02,2.952118e-02,1.816710e-02,2.440744e+05,8.435372e+05,7.477897e+05,9.173111e+05,1.078049e+06,7.843843e+05,1.949949e+05,1.710983e+05,2.235322e+04,1.543310e+03,1.976830e-04,2.171523e-04,1.307417e-04,1.251626e-02,1.705336e-02,1.593526e-01,9.170638e-01,1.000000e+00
8.890000e-01,1.698889e-01,5.674245e-01,5.860407e-01,3.801250e-01,1.698889e-01,7.348979e-02,3.042183e-02,7.348979e-02,3.042183e-02,1.885778e-02,2.440744e+05,8.736799e+05,7.721934e+05,9.474538e+05,1.102452e+06,7.921542e+05,2.085422e+05,1.851038e+05,2.257084e+04,8.674934e+02,2.058369e-04,2.232516e-04,1.326175e-04,1.207184e-02,1.671664e-02,1.572644e-01,9.401149e-01,1.000000e+00
8.890000e-01,1.761111e-01,5.705734e-01,5.859375e-01,3.757353e-01,1.761111e-01,7.562682e-02,3.131428e-02,7.562682e-02,3.131428e-02,1.954845e-02,2.440744e+05,9.039457e+05,7.963850e+05,9.777196e+05,1.126644e+06,7.996214e+05,2.226579e+05,1.997481e+05,2.276501e+04,1.447785e+02,2.140249e-04,2.293013e-04,1.344136e-04,1.165967e-02,1.639945e-02,1.553280e-01,9.629646e-01,1.000000e+00
8.980000e-01,1.450000e-01,5.561837e-01,5.920716e-01,4.366039e-01,1.450000e-01,6.435337e-02,2.625161e-02,6.435337e-02,2.625161e-02,1.479010e-02,2.440744e+05,7.570439e+05,6.773895e+05,8.308178e+05,1.007648e+06,8.007454e+05,1.597540e+05,1.335952e+05,2.153264e+04,4.626131e+03,1.742861e-04,1.994304e-04,1.353748e-04,1.406735e-02,1.839893e-02,1.653243e-01,8.484189e-01,1.000000e+00
8.980000e-01,1.512222e-01,5.598819e-01,5.918501e-01,4.321781e-01,1.512222e-01,6.655565e-02,2.716472e-02,6.655565e-02,2.716472e-02,1.542477e-02,2.440744e+05,7.868761e+05,7.025406e+05,8.606500e+05,1.032799e+06,8.109002e+05,1.718172e+05,1.458044e+05,2.180766e+04,4.205083e+03,1.823533e-04,2.057034e-04,1.379269e-04,1.350172e-02,1.798524e-02,1.623721e-01,8.721861e-01,1.000000e+00
8.980000e-01,1.574444e-01,5.634196e-01,5.917064e-01,4.277784e-01,1.574444e-01,6.873718e-02,2.806499e-02,6.873718e-02,2.806499e-02,1.605944e-02,2.440744e+05,8.168481e+05,7.275225e+05,8.906221e+05,1.057781e+06,8.206033e+05,1.844143e+05,1.586160e+05,2.206638e+04,3.731876e+03,1.904593e-04,2.119388e-04,1.403484e-04,1.298200e-02,1.759835e-02,1.596929e-01,8.956914e-01,1.000000e+00
8.980000e-01,1.636667e-01,5.668098e-01,5.916181e-01,4.234248e-01,1.636667e-01,7.089882e-02,2.895384e-02,7.089882e-02,2.895384e-02,1.669411e-02,2.440744e+05,8.469548e+05,7.523233e+05,9.207287e+05,1.082582e+06,8.299004e+05,1.975581e+05,1.720423e+05,2.230698e+04,3.208792e+03,1.986026e-04,2.181333e-04,1.426550e-04,1.250284e-02,1.723565e-02,1.572436e-01,9.189577e-01,1.000000e+00
8.980000e-01,1.698889e-01,5.700635e-01,5.915650e-01,4.191368e-01,1.698889e-01,7.304145e-02,2.983273e-02,7.304145e-02,2.983273e-02,1.732879e-02,2.440744e+05,8.771904e+05,7.769308e+05,9.509643e+05,1.107190e+06,8.388378e+05,2.112614e+05,1.860956e+05,2.252740e+04,2.638365e+03,2.067817e-04,2.242832e-04,1.448627e-04,1.205970e-02,1.689484e-02,1.549863e-01,9.420049e-01,1.000000e+00
8.980000e-01,1.761111e-01,5.731898e-01,5.915288e-01,4.149341e-01,1.761111e-01,7.516604e-02,3.070321e-02,7.516604e-02,3.070321e-02,1.796346e-02,2.440744e+05,9.075487e+05,8.013320e+05,9.813226e+05,1.131591e+06,8.474638e+05,2.255370e+05,2.007883e+05,2.272528e+04,2.023422e+03,2.149948e-04,2.303851e-04,1.469879e-04,1.164869e-02,1.657382e-02,1.528869e-01,9.648504e-01,1.000000e+00
9.070000e-01,1.450000e-01,5.590509e-01,5.975924e-01,4.758817e-01,1.450000e-01,6.393763e-02,2.572903e-02,6.393763e-02,2.572903e-02,1.348511e-02,2.440744e+05,7.603233e+05,6.815152e+05,8.340972e+05,1.011774e+06,8.447886e+05,1.619187e+05,1.344380e+05,2.147948e+04,6.001237e+03,1.751678e-04,2.003007e-04,1.467336e-04,1.404896e-02,1.861160e-02,1.656316e-01,8.504077e-01,1.000000e+00
9.070000e-01,1.512222e-01,5.627179e-01,5.974338e-01,4.716946e-01,1.512222e-01,6.612678e-02,2.662045e-02,6.612678e-02,2.662045e-02,1.406378e-02,2.440744e+05,7.902527e+05,7.068581e+05,8.640266e+05,1.037117e+06,8.561305e+05,1.741271e+05,1.466952e+05,2.175526e+04,5.676713e+03,1.832614e-04,2.066212e-04,1.496237e-04,1.348517e-02,1.819227e-02,1.624903e-01,8.741704e-01,1.000000e+00
9.070000e-01,1.574444e-01,5.662259e-01,5.973534e-01,4.675285e-01,1.574444e-01,6.829533e-02,2.749893e-02,6.829533e-02,2.749893e-02,1.464245e-02,2.440744e+05,8.203209e+05,7.320366e+05,8.940948e+05,1.062295e+06,8.670163e+05,1.868730e+05,1.595551e+05,2.201533e+04,5.302568e+03,1.913935e-04,2.129055e-04,1.523813e-04,1.296709e-02,1.780018e-02,1.596292e-01,8.976709e-01,1.000000e+00
9.070000e-01,1.636667e-01,5.695879e-01,5.973290e-01,4.634019e-01,1.636667e-01,7.044413e-02,2.836586e-02,7.044413e-02,2.836586e-02,1.522113e-02,2.440744e+05,8.505227e+05,7.570393e+05,9.242966e+05,1.087298e+06,8.774905e+05,2.001692e+05,1.730302e+05,2.225794e+04,4.881002e+03,1.995627e-04,2.191501e-04,1.550218e-04,1.248939e-02,1.743265e-02,1.570052e-01,9.209320e-01,1.000000e+00
9.070000e-01,1.698889e-01,5.728148e-01,5.973407e-01,4.593328e-01,1.698889e-01,7.257404e-02,2.922266e-02,7.257404e-02,2.922266e-02,1.579980e-02,2.440744e+05,8.808526e+05,7.818542e+05,9.546265e+05,1.112113e+06,8.875980e+05,2.140284e+05,1.871328e+05,2.248114e+04,4.414447e+03,2.077674e-04,2.253517e-04,1.575607e-04,1.204757e-02,1.708735e-02,1.545807e-01,9.439738e-01,1.000000e+00
